CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
NEW YORK,NY,553200.0,559400,555700,556300,547000,544300,548100,558700,560700,563100,564200,557700,561100,560100,571000.0,559800.0,563200.0,570500.0,572800.0,569900.0,560800.0,571500.0,575100.0,571700.0,568300.0,573600.0
LOS ANGELES,CA,616800.0,624000,631300,629100,635300,633600,638900,642700,660300,671400,673400,680800,684300,699200,702700.0,703800.0,706800.0,711800.0,717300.0,714100.0,711900.0,718400.0,727100.0,738200.0,760200.0,
HOUSTON,TX,195200.0,196300,197800,195500,194300,195000,195300,198100,199900,203200,204000,206600,205100,206800,206200.0,210100.0,209700.0,207400.0,207600.0,207000.0,211400.0,211500.0,217700.0,219200.0,223800.0,
CHICAGO,IL,238500.0,247400,250000,244600,242100,248600,254400,256800,253600,256600,237600,245700,263200,290800,292000.0,276000.0,271500.0,266500.0,264900.0,265000.0,264100.0,264300.0,270000.0,281400.0,302900.0,309200.0
SAN ANTONIO,TX,185700.0,185400,186000,187300,186800,186100,186300,187800,192400,194100,194200,190400,189600,191200,193300.0,196000.0,197100.0,198700.0,200200.0,200800.0,203400.0,203800.0,205400.0,205400.0,208300.0,
PHILADELPHIA,PA,140100.0,140700,135800,141200,140600,142200,140800,142200,142400,147100,150000,153000,153500,154300,156500.0,158100.0,161500.0,163500.0,162800.0,160300.0,162400.0,171600.0,177400.0,184100.0,188300.0,
PHOENIX,AZ,213200.0,213700,216300,215700,216800,218600,219200,220300,219500,221700,220900,222700,223300,226400,226900.0,228700.0,231100.0,231300.0,232600.0,236000.0,239900.0,243700.0,245600.0,250600.0,254700.0,
LAS VEGAS,NV,243800.0,245600,248400,252000,255500,256700,257700,259500,263500,264000,264400,265900,267700,269400,266600.0,266700.0,266000.0,268200.0,268400.0,270400.0,272200.0,274400.0,277500.0,278900.0,283000.0,284700.0
SAN DIEGO,CA,573000.0,578500,584100,591000,593500,591900,592700,594800,593200,588600,583400,589300,595300,596300,598000.0,594200.0,596300.0,595300.0,600500.0,600800.0,607000.0,613300.0,618300.0,617000.0,619200.0,
DALLAS,TX,303300.0,304500,300100,298400,297700,301400,297600,295600,289200,292400,296200,298700,294300,287500,287800.0,293200.0,300600.0,301100.0,301500.0,310100.0,314600.0,316900.0,307100.0,321500.0,315500.0,321700.0
AUSTIN,TX,353000.0,352300,352400,348900,350300,351600,355600,358300,358400,357100,360900,359100,359500,358100,359900.0,365300.0,368300.0,374400.0,379900.0,383200.0,385700.0,389700.0,396500.0,399900.0,397800.0,
SAN JOSE,CA,1030500.0,1048000,1068500,1053900,1037500,1015500,1001000,991800,997300,981200,978600,974600,973800,964300,950400.0,941200.0,937800.0,936400.0,935800.0,927100.0,913000.0,916800.0,941200.0,970500.0,983400.0,
JACKSONVILLE,FL,137800.0,142000,141900,140600,140700,142300,145900,146400,144200,144000,141900,141900,146300,147400,153300.0,156700.0,164300.0,171000.0,173000.0,172500.0,170600.0,174700.0,177800.0,184700.0,194000.0,
INDIANAPOLIS,IN,131100.0,133700,134000,142600,141200,140900,140300,140400,141700,141900,143200,143600,146800,150100,153000.0,153900.0,151800.0,150500.0,150500.0,151200.0,154100.0,153100.0,156000.0,157000.0,160500.0,166200.0
SAN FRANCISCO,CA,1287100.0,1313200,1302000,1318400,1311800,1317100,1329700,1342500,1341100,1315000,1326300,1306900,1313200,1303900,1336900.0,1335400.0,1342300.0,1358000.0,1386200.0,1405100.0,1349400.0,1332900.0,1297300.0,1348600.0,1364300.0,
CHARLOTTE,NC,209500.0,217000,216800,216200,215400,214500,215300,214400,217800,218400,221100,225700,229700,231400,229600.0,229900.0,228700.0,230500.0,229600.0,236800.0,238400.0,243500.0,248900.0,257000.0,261900.0,
FORT WORTH,TX,206600.0,206200,209000,210200,212100,212600,208500,209300,208500,212800,212700,214400,214700,215100,214700.0,216500.0,218300.0,218700.0,219200.0,218800.0,223600.0,226200.0,227500.0,226200.0,226300.0,
TUCSON,AZ,182800.0,183900,188300,189200,189500,187700,188000,189300,190500,192100,191300,193200,192300,194300,195400.0,201800.0,204600.0,205800.0,202100.0,204200.0,206700.0,207800.0,211000.0,212200.0,217100.0,
COLUMBUS,OH,148500.0,147500,144800,142300,143400,145300,148400,148500,148400,149000,150000,150900,153500,157600,157200.0,154900.0,152600.0,154800.0,158500.0,157700.0,162900.0,166600.0,172700.0,175300.0,173600.0,177600.0
LOUISVILLE,KY,167300.0,163500,162700,158200,158600,158900,157400,157100,158100,161700,167100,170200,173400,173100,171100.0,170600.0,172700.0,175900.0,176000.0,173900.0,175400.0,174600.0,176600.0,170800.0,173100.0,176200.0
ORLANDO,FL,223900.0,229400,234300,231900,234800,235500,237300,237200,237600,239500,240700,239900,241000,238700,239100.0,240100.0,244200.0,244900.0,241900.0,241500.0,243600.0,247400.0,251100.0,254800.0,263500.0,270500.0
EL PASO,TX,136200.0,137800,138900,138700,138700,136900,136800,138300,138500,140000,139300,138000,139100,141500,145200.0,146000.0,144900.0,146900.0,147900.0,150700.0,153300.0,154500.0,154500.0,154700.0,156800.0,
DENVER,CO,420200.0,423600,416300,409800,412400,411500,409500,415800,418200,420600,411800,409700,412000,415500,418200.0,415800.0,414800.0,418100.0,421400.0,433300.0,440500.0,445400.0,435500.0,435100.0,436900.0,442700.0
SEATTLE,WA,690100.0,700200,704100,707500,700800,693200,687300,696400,696400,696300,687300,673900,669800,673200,689200.0,696000.0,699000.0,690700.0,690800.0,684800.0,697300.0,692100.0,701700.0,701400.0,705600.0,
MEMPHIS,TN,100000.0,97800,96800,97400,99300,97900,95400,92300,90200,89400,90900,89600,96800,99800,104000.0,100300.0,100700.0,102700.0,104200.0,103600.0,101900.0,102100.0,104800.0,104500.0,109900.0,
BOSTON,MA,607300.0,594900,612000,602500,618000,621000,623700,623900,617700,624500,625400,634100,637000,635300,638200.0,634000.0,636600.0,653000.0,648900.0,651000.0,638900.0,634800.0,636000.0,644300.0,665400.0,692200.0
WASHINGTON,,512300.0,510000,520500,525700,524200,524800,521800,517900,518500,529000,538400,538800,542100,549200,554300.0,547500.0,540000.0,532600.0,530600.0,542600.0,548000.0,566400.0,577600.0,580100.0,575700.0,586100.0
PORTLAND,OR,418900.0,425600,422500,417300,416100,414700,417400,415400,414800,411600,411300,414500,422200,422600,416100.0,417200.0,415100.0,416500.0,412900.0,422100.0,428900.0,432200.0,431900.0,435400.0,435200.0,439500.0
NASHVILLE,TN,251600.0,257000,259000,257900,256500,256000,257000,255300,257100,259600,265300,264900,265600,264700,265400.0,267900.0,270900.0,270300.0,272300.0,274600.0,282700.0,283700.0,288000.0,288900.0,295500.0,296200.0
