DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,53.0,35.0,45.0,12315.43136272545,0.1603427676842582,298699.954977806,1580.0,6828.0,216365.71431674564,3.482,4.033,0.55
2018-02,52.0,31.0,40.0,13361.053630998204,0.1555720837981901,309807.74707757705,1885.0,7862.0,218318.5814984708,3.785,4.33,0.545
2018-03,53.0,32.0,35.0,13712.279369627508,0.170905429594272,325455.7679022746,2384.0,10600.0,220179.19817508003,3.91,4.444,0.534
2018-04,56.0,32.0,31.0,13456.49775623766,0.185078244751007,324589.13129770994,1967.0,10883.0,221743.7058145828,3.925,4.468,0.543
2018-05,57.0,33.0,30.0,13292.195068573095,0.2147942351102622,338943.5129244805,1977.0,12512.0,223227.41785173133,4.066,4.586,0.52
2018-06,55.0,34.0,32.0,12760.198621227888,0.2256228452481623,343386.25683341926,1941.0,12557.0,224340.31485498053,4.04,4.57,0.53
2018-07,53.0,33.0,34.0,11255.18875311425,0.2364721319670082,335060.510989011,1824.0,11799.0,225797.3112642329,4.008,4.527,0.52
2018-08,52.0,32.0,36.0,10868.166703960618,0.2502759468920495,342432.21960784314,1786.0,12742.0,227231.59376705627,4.018,4.55,0.532
2018-09,50.0,32.0,41.0,10842.589299171064,0.2397875008249191,340577.55638629285,1606.0,9649.0,228881.46395961635,4.08,4.628,0.547
2018-10,50.0,32.0,42.0,10585.974728838197,0.2625685482546875,363814.0860448301,1383.0,10245.0,230316.14504233687,4.248,4.83,0.583
2018-11,49.0,32.0,47.0,9464.224085586236,0.2203857724296584,356472.90675017395,1439.0,9201.0,231840.8116055644,4.282,4.866,0.584
2018-12,51.0,31.0,55.0,9200.076750448832,0.1647283796440836,345367.8441340782,1792.0,8399.0,233448.7196435296,4.09,4.638,0.547
2019-01,55.0,32.0,57.0,10300.841142347166,0.2273803358733446,324419.46341463417,1110.0,6707.0,235074.1721522088,3.906,4.464,0.558
2019-02,56.0,31.0,51.0,10782.240303680475,0.1818418229691512,331025.27051671734,1321.0,8015.0,236573.03687746864,3.8,4.37,0.57
2019-03,56.0,30.0,45.0,10764.588314849878,0.2163579741026061,343957.1707317073,1682.0,10627.0,237837.5022048234,3.717,4.265,0.547
2019-04,55.0,32.0,40.0,10944.684514683337,0.2316120397173716,353371.8310559006,1611.0,11187.0,238836.94299120715,3.605,4.143,0.537
2019-05,53.0,33.0,39.0,11256.841645244216,0.2491167118125073,356680.1647058824,1787.0,12717.0,239619.0733510831,3.534,4.072,0.538
2019-06,52.0,33.0,39.0,10874.862915294822,0.2574598540145985,355172.1111782477,1656.0,11903.0,240206.84974449305,3.237,3.803,0.565
2019-07,53.0,33.0,42.0,10455.890249736867,0.2688581213593654,350784.91901619674,1669.0,12204.0,240792.91973105355,3.203,3.765,0.562
2019-08,53.0,32.0,45.0,9888.475037678974,0.2703290886098285,354139.9489136817,1707.0,11714.0,241466.74238752364,3.082,3.616,0.534
2019-09,51.0,32.0,47.0,9759.552332912988,0.2712504495863805,363481.17467248905,1603.0,9915.0,242168.3901706393,3.115,3.605,0.49
2019-10,51.0,32.0,49.0,9418.529524908636,0.2750007569105937,356342.9180887372,1468.0,10291.0,243077.1335714196,3.142,3.688,0.546
2019-11,51.0,32.0,54.0,8766.381529460929,0.2207388804441213,357719.9659632403,1470.0,8700.0,244304.95584895145,3.158,3.695,0.538
2019-12,53.0,32.0,61.0,8486.665513029317,0.1790346352247605,357367.7669010276,1851.0,9588.0,245906.4199386709,3.178,3.72,0.543
2020-01,57.0,34.0,64.0,9940.753661576817,0.2151474052394889,355547.824,1126.0,7468.0,247779.0811359376,3.072,3.624,0.552
2020-02,59.0,30.0,57.0,11957.816114109484,0.2314604308758255,363663.2901990812,1307.0,8590.0,249615.7981901076,2.97,3.465,0.495
2020-03,60.0,30.0,45.0,11773.930036188178,0.1795011030035635,347867.8990877993,1756.0,9989.0,251266.29035888065,2.885,3.45,0.565
2020-04,62.0,32.0,40.0,10096.77566539924,0.1741374532354163,352393.4769030579,1539.0,8147.0,252414.47355795963,2.804,3.306,0.502
2020-05,64.0,32.0,45.0,11284.50007558579,0.2001932367149758,345504.46992481203,1597.0,7869.0,252803.7168130893,2.692,3.232,0.54
2020-06,65.0,32.0,48.0,12007.055607769424,0.1967970942710913,357992.2495575221,2260.0,11380.0,253002.44328056969,2.603,3.163,0.56
2020-07,67.0,32.0,46.0,12803.85536779324,0.1910583064349976,360146.05389492755,2209.0,12526.0,253645.9051155396,2.52,3.016,0.496
2020-08,68.0,32.0,42.0,12772.243333954875,0.1739146009456942,366872.8959798995,1990.0,12158.0,255389.24051980465,2.475,2.935,0.46
2020-09,67.0,33.0,41.0,13142.975406504063,0.1809910578312312,369708.8262210797,1945.0,12003.0,258222.51815277463,2.385,2.89,0.505
2020-10,66.0,32.0,37.0,13407.810577328277,0.1781426908098125,361273.5408328826,1849.0,12401.0,261839.3692972748,2.346,2.834,0.488
2020-11,68.0,31.0,36.0,13383.023958927552,0.1538741360494725,389476.8495838288,1682.0,10300.0,266003.6326509246,2.305,2.765,0.46
2020-12,74.0,31.0,40.0,13139.364785172704,0.1210724759111855,381633.3348577236,1968.0,11736.0,270241.7959829055,2.218,2.684,0.466
2021-01,80.0,32.0,37.0,16259.251272727271,0.1312558552339628,361582.5544554456,1414.0,8416.0,274565.6844133647,2.2,2.735,0.535
2021-02,84.0,30.0,30.0,16012.731508165223,0.1089550634272199,367644.427221172,1588.0,9320.0,279139.5284279056,2.237,2.81,0.573
2021-03,83.0,31.0,22.0,19622.759157894736,0.1143988225143379,388835.64341463416,2050.0,13122.0,284010.5721624196,2.393,3.083,0.69
2021-04,82.0,32.0,19.0,19377.54776299879,0.1110687750047628,391338.6165020337,1721.0,13578.0,289066.6235100984,2.364,3.06,0.696
2021-05,78.0,31.0,16.0,21065.92817238628,0.1107862248213125,413477.8418491484,1644.0,13583.0,294536.3876106093,2.28,2.962,0.683
2021-06,75.0,32.0,15.0,21151.351546082256,0.1342634850262963,415582.6809927361,1653.0,15589.0,300409.8403939023,2.27,2.975,0.705
2021-07,74.0,30.0,17.0,18995.73256351039,0.1617146262557466,407263.3174715909,1408.0,14952.0,305878.8233104387,2.18,2.868,0.688
2021-08,73.0,29.0,19.0,19562.60597572362,0.1710798688977057,417557.22075910144,1292.0,14098.0,310392.27684082073,2.145,2.842,0.698
2021-09,73.0,30.0,22.0,18111.94153620352,0.1751388888888889,412017.3347164592,1446.0,12116.0,314231.9588085996,2.184,2.9,0.716
2021-10,71.0,30.0,22.0,18630.17824933687,0.1636950723009967,444522.5628548256,1233.0,11199.0,318646.74252585944,2.308,3.067,0.76
2021-11,72.0,29.0,24.0,17413.65265017668,0.139990715427864,455761.3863309352,1390.0,12348.0,324013.27952308697,2.357,3.067,0.71
2021-12,77.0,29.0,27.0,16277.023942944472,0.117521236936992,459175.2800654665,1833.0,11494.0,330061.65523822943,2.348,3.098,0.75
2022-01,83.0,31.0,29.0,17791.688340807174,0.1306869675548305,447008.5174887892,1116.0,8918.0,337446.7036427199,2.66,3.445,0.785
2022-02,84.0,28.0,24.0,18824.927428571427,0.103757815885594,452656.4346733669,1195.0,10060.0,345434.51520296856,2.998,3.763,0.765
2022-03,81.0,27.0,20.0,20215.436815501263,0.1236434108527131,479316.75826819,1664.0,12946.0,353955.92656858684,3.39,4.172,0.782
2022-04,77.0,28.0,17.0,18554.51989026063,0.1424081499945811,481215.9931558935,1317.0,12307.0,361861.9768506469,4.215,4.982,0.767
2022-05,71.0,28.0,17.0,21441.12435765673,0.171863418490883,502345.5821005917,1352.0,12705.0,368813.5595095904,4.435,5.23,0.795
2022-06,64.0,28.0,18.0,19890.64272948822,0.2298282029766373,518924.9766042781,1496.0,12600.0,374464.215263765,4.652,5.522,0.87
2022-07,58.0,28.0,22.0,16955.048780487807,0.2835889124381831,517014.5157284768,1208.0,10530.0,377600.5524705389,4.612,5.412,0.8
2022-08,55.0,27.0,28.0,16289.625786870503,0.3029841778489885,510189.5581576893,1281.0,10449.0,378382.17531876406,4.562,5.223,0.66
2022-09,51.0,28.0,32.0,15336.80557894737,0.3249762504646648,512669.74843260186,1277.0,9231.0,377321.6361878742,5.35,6.112,0.762
2022-10,49.0,28.0,36.0,15050.26703116457,0.3273056057866184,514522.58208955225,1139.0,7938.0,375983.5798700101,6.145,6.9,0.755
2022-11,48.0,28.0,43.0,14756.544955189362,0.2888787185354691,498099.0415162455,1108.0,6404.0,374576.3329341323,6.138,6.805,0.667
2022-12,52.0,27.0,53.0,13089.40350877193,0.2150280183392766,500685.79745830025,1260.0,6539.0,373001.0150419353,5.668,6.364,0.696
2023-01,58.0,29.0,58.0,14361.541369863016,0.2625137874888387,493814.5833333333,828.0,4821.0,371279.3720063397,5.425,6.272,0.848
2023-02,63.0,27.0,52.0,15083.093823116518,0.2224783537613853,511185.2776203966,1060.0,6005.0,369991.0724054232,5.415,6.258,0.843
2023-03,65.0,27.0,43.0,15502.0379775795,0.2130892301084505,498278.68834688346,1476.0,8329.0,369660.66984907584,5.796,6.544,0.748
