DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,42.0,39.0,49.0,8892.78967642527,0.1883905804709764,277393.7893081761,321.0,1979.0,173346.49680024598,3.482,4.033,0.55
2018-02,43.0,37.0,44.0,9781.12510638298,0.1702064458636566,269154.0790513834,254.0,1948.0,174075.38491906892,3.785,4.33,0.545
2018-03,46.0,35.0,35.0,9846.737417943108,0.1783197831978319,315383.3110047847,210.0,2960.0,175200.3758540734,3.91,4.444,0.534
2018-04,50.0,37.0,32.0,11134.855937311631,0.2011772400261609,269780.94505494507,182.0,3173.0,176430.24400933398,3.925,4.468,0.543
2018-05,51.0,38.0,27.0,11504.665659617322,0.2175658127729902,291332.2516129032,155.0,3506.0,177773.39476720072,4.066,4.586,0.52
2018-06,49.0,39.0,28.0,11423.306310254164,0.2454259410325137,297840.5786163522,159.0,4096.0,178730.8824479498,4.04,4.57,0.53
2018-07,46.0,38.0,31.0,10452.670406189554,0.2616832779623477,300408.5534591195,160.0,3658.0,179931.29981301524,4.008,4.527,0.52
2018-08,46.0,37.0,33.0,10257.039603960397,0.2747797356828194,291465.54676258995,139.0,3671.0,180996.0888059607,4.018,4.55,0.532
2018-09,52.0,37.0,36.0,9579.604191379993,0.2694147119107264,287497.12096774194,124.0,2965.0,182111.4485885156,4.08,4.628,0.547
2018-10,62.0,36.0,41.0,9685.677087033748,0.293275783734666,334093.9716981132,109.0,2935.0,182867.93432145027,4.248,4.83,0.583
2018-11,67.0,35.0,49.0,8776.087047718931,0.2238934779928492,373996.0891089109,101.0,2673.0,183641.16732350545,4.282,4.866,0.584
2018-12,79.0,36.0,55.0,8630.949185043144,0.1520450932215638,338301.2419354839,124.0,2392.0,184394.19764694013,4.09,4.638,0.547
2019-01,90.0,37.0,61.0,8812.218647406435,0.2105263157894736,316008.2097902098,143.0,1785.0,185414.79439674327,3.906,4.464,0.558
2019-02,95.0,35.0,56.0,9420.728444802578,0.1816051552431165,298108.0483870968,124.0,2040.0,186655.39038239003,3.8,4.37,0.57
2019-03,84.0,35.0,41.0,11240.65704225352,0.1910933406866124,317745.53623188403,138.0,2657.0,188053.44024259457,3.717,4.265,0.547
2019-04,79.0,37.0,36.0,11357.450312322544,0.2165015641293013,289853.13,100.0,3206.0,189227.01033168472,3.605,4.143,0.537
