DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,44.0,31.0,50.0,9565.188841201716,0.1659757180929819,297822.0615942029,276.0,2284.0,163700.59160755205,3.482,4.033,0.55
2018-02,44.0,29.0,48.0,9187.455992509364,0.1478060046189376,320292.4903225806,317.0,2459.0,164520.9338408384,3.785,4.33,0.545
2018-03,50.0,28.0,40.0,9530.067246835442,0.1549581536900837,333248.6857142857,315.0,3118.0,165635.75527304923,3.91,4.444,0.534
2018-04,58.0,29.0,36.0,9858.027416038383,0.1735124760076775,363757.4717741936,249.0,3529.0,166888.28089786158,3.925,4.468,0.543
2018-05,61.0,36.0,25.0,10074.075684380032,0.221584984358707,346813.2191780822,221.0,4005.0,168294.3319772317,4.066,4.586,0.52
2018-06,55.0,37.0,23.0,9718.6,0.2409624274031053,364586.6180904523,200.0,4302.0,169507.22018236964,4.04,4.57,0.53
2018-07,50.0,36.0,26.0,9778.064494229464,0.2920141665714612,332119.84375,160.0,3997.0,170737.04113455463,4.008,4.527,0.52
2018-08,47.0,35.0,32.0,9433.822458791208,0.2873001776198934,334859.4601226994,163.0,4120.0,171841.4655368595,4.018,4.55,0.532
2018-09,43.0,36.0,35.0,8911.076055312955,0.2809851994124958,327470.03225806454,155.0,3368.0,172971.38090263458,4.08,4.628,0.547
2018-10,40.0,35.0,39.0,8226.27263747119,0.3017414601473543,335985.2375690608,181.0,3420.0,173895.1898374584,4.248,4.83,0.583
2018-11,39.0,34.0,46.0,7995.620863970588,0.2467342204858991,392033.71287128713,202.0,2904.0,174901.89710256085,4.282,4.866,0.584
2018-12,42.0,34.0,56.0,7949.591062394604,0.1597894137734775,372515.4528301887,212.0,2553.0,175800.81153227497,4.09,4.638,0.547
2019-01,47.0,36.0,60.0,7900.540507111936,0.2251655629139073,368991.90265486727,113.0,1777.0,176856.609043492,3.906,4.464,0.558
2019-02,53.0,35.0,57.0,8390.049884881044,0.1848348348348348,367984.32330827066,133.0,2127.0,177789.68012171914,3.8,4.37,0.57
2019-03,56.0,34.0,43.0,10066.883754512635,0.1809038302562689,371251.0053475936,187.0,2934.0,178843.35665085466,3.717,4.265,0.547
2019-04,57.0,35.0,34.0,10163.925736961452,0.2138514406555643,347189.25225225225,222.0,3256.0,179732.78322593574,3.605,4.143,0.537
2019-05,54.0,36.0,28.0,10899.908310749774,0.2460248983113521,356471.0096153846,208.0,3825.0,180616.4809584829,3.534,4.072,0.538
2019-06,51.0,36.0,27.0,9562.081773799837,0.2594800858573813,370125.4885844749,219.0,3882.0,181394.2641832104,3.237,3.803,0.565
2019-07,50.0,36.0,31.0,9196.760945100765,0.2928563104533271,344588.57692307694,208.0,3958.0,182176.2902799072,3.203,3.765,0.562
2019-08,49.0,35.0,33.0,8949.478804725504,0.290504076242967,354822.5714285714,225.0,3878.0,182969.8125069169,3.082,3.616,0.534
2019-09,46.0,35.0,33.0,9102.565395095367,0.3013842037920204,335279.7267759563,184.0,3294.0,183735.39553590803,3.115,3.605,0.49
2019-10,45.0,35.0,36.0,8665.563394683026,0.3008589245793622,367004.42245989305,188.0,3417.0,184703.073461264,3.142,3.688,0.546
2019-11,44.0,35.0,44.0,7995.938818565401,0.2347779845785695,370807.4414414414,222.0,2823.0,185900.26578401664,3.158,3.695,0.538
2019-12,48.0,35.0,51.0,7588.751069289991,0.1802398989898989,359269.9678714859,249.0,2858.0,187261.62771910083,3.178,3.72,0.543
2020-01,56.0,37.0,56.0,8658.618883528601,0.2168501675442795,360891.3650793651,126.0,2069.0,188792.2416587548,3.072,3.624,0.552
2020-02,61.0,34.0,46.0,10206.681044957471,0.2272652252847004,358284.5925925926,189.0,2219.0,190270.76474878608,2.97,3.465,0.495
2020-03,64.0,35.0,32.0,10070.671561051004,0.1875879318430514,357926.98566308245,279.0,3049.0,191875.9562949154,2.885,3.45,0.565
2020-04,70.0,37.0,32.0,9139.21138912856,0.1829922844682992,357935.4633027523,218.0,2847.0,193303.21999432085,2.804,3.306,0.502
2020-05,75.0,37.0,31.0,9637.475,0.2001239157372986,355354.7696629214,178.0,2951.0,194410.26564576672,2.692,3.232,0.54
2020-06,76.0,37.0,29.0,11816.892510402218,0.2083131166100598,343092.2053231939,263.0,3789.0,195188.2089698255,2.603,3.163,0.56
2020-07,75.0,37.0,25.0,10787.849462365592,0.2065093572009764,360405.2053231939,263.0,4379.0,196080.4955569578,2.52,3.016,0.496
2020-08,72.0,38.0,23.0,11033.236301369863,0.212825585229146,352369.8456140351,285.0,4105.0,197436.21737001787,2.475,2.935,0.46
2020-09,66.0,38.0,21.0,10981.721376571806,0.2124960355217253,361621.69863013696,292.0,4026.0,199653.43735325465,2.385,2.89,0.505
2020-10,63.0,37.0,20.0,10128.210615471486,0.2446498054474708,358703.92910447763,268.0,4130.0,202406.75718014533,2.346,2.834,0.488
2020-11,61.0,37.0,23.0,10356.144905660378,0.2224957394432872,355579.80534351146,262.0,3593.0,205762.85264294688,2.305,2.765,0.46
2020-12,69.0,36.0,30.0,9569.142168674698,0.185997171145686,373213.8054607509,293.0,3758.0,209033.8662396219,2.218,2.684,0.466
2021-01,79.0,36.0,28.0,10215.096,0.1684210526315789,359503.4948453608,195.0,2469.0,212186.70493642127,2.2,2.735,0.535
2021-02,88.0,34.0,25.0,10453.865306122449,0.1299945265462506,360350.6964980545,258.0,2457.0,215476.10888277032,2.237,2.81,0.573
2021-03,90.0,35.0,17.0,12979.891808346214,0.1283615819209039,360067.55350553506,271.0,3176.0,219240.0491385685,2.393,3.083,0.69
2021-04,90.0,35.0,15.0,13252.868078175896,0.1129581413979571,365357.71760797343,301.0,3629.0,223155.10765927928,2.364,3.06,0.696
2021-05,83.0,34.0,11.0,14183.797619047618,0.12758813654169,380579.2770700637,315.0,3860.0,227091.13478561665,2.28,2.962,0.683
2021-06,76.0,35.0,11.0,15073.016071428572,0.1717557251908397,400308.1394557823,294.0,4475.0,230958.5266122825,2.27,2.975,0.705
2021-07,71.0,35.0,12.0,14601.342741935485,0.1800419828839012,389748.0338983051,236.0,4521.0,234383.40844948543,2.18,2.868,0.688
2021-08,70.0,35.0,14.0,13651.83946251768,0.1903060431878204,390353.3828828829,222.0,4433.0,236764.05022534743,2.145,2.842,0.698
2021-09,69.0,35.0,14.0,13737.429640718565,0.2009746261132582,393031.9267241379,232.0,4482.0,238211.70925478567,2.184,2.9,0.716
2021-10,68.0,34.0,15.0,12464.971146545178,0.194495108605538,431150.2083333333,216.0,4031.0,239971.4775650277,2.308,3.067,0.76
2021-11,67.0,35.0,16.0,11899.30834914611,0.1892473118279569,411361.5487804878,328.0,3894.0,242447.38651541012,2.357,3.067,0.71
2021-12,73.0,34.0,22.0,12516.748055987558,0.1547057362801092,409875.0821917809,438.0,3798.0,245403.6088285509,2.348,3.098,0.75
