DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,52.0,44.0,59.0,14886.916909620992,0.1355268311790051,357332.58666666667,75.0,1335.0,294646.21031998284,3.482,4.033,0.55
2018-02,53.0,45.0,49.0,13721.127659574468,0.1222852670710232,383405.90625,64.0,1087.0,295883.91023287346,3.785,4.33,0.545
2018-03,58.0,43.0,46.0,17894.74057315234,0.1185792349726776,372595.3888888889,90.0,1419.0,297498.84097336844,3.91,4.444,0.534
2018-04,61.0,41.0,41.0,18644.291850220263,0.1423155899541936,390282.752688172,93.0,1565.0,299255.56494810205,3.925,4.468,0.543
2018-05,61.0,42.0,33.0,15307.745888157897,0.1635123851934316,409967.4135483871,93.0,1995.0,301115.6026824725,4.066,4.586,0.52
2018-06,58.0,42.0,37.0,17814.097840755734,0.1884769409636997,460061.8409090909,88.0,2322.0,302584.9450617643,4.04,4.57,0.53
2018-07,56.0,43.0,42.0,17112.581508515814,0.2031505986137366,415452.5540540541,74.0,2113.0,304197.8099567348,4.008,4.527,0.52
2018-08,52.0,44.0,45.0,15232.099191374664,0.2215197719102516,536034.5,68.0,2271.0,305783.36163249525,4.018,4.55,0.532
2018-09,49.0,37.0,64.0,15229.534509600417,0.2296102602415639,453961.98412698414,63.0,1806.0,307241.0783181445,4.08,4.628,0.547
2018-10,47.0,39.0,53.0,15240.43377941855,0.2517526289434151,420909.890625,64.0,1930.0,307968.8257958679,4.248,4.83,0.583
2018-11,47.0,41.0,66.0,12372.371155160628,0.2024729520865533,510264.8115942029,69.0,1783.0,308252.1719142488,4.282,4.866,0.584
2018-12,49.0,40.0,70.0,12483.905994550409,0.1253324468085106,399771.2181818182,55.0,1476.0,308338.09840209945,4.09,4.638,0.547
2019-01,53.0,42.0,75.0,12847.3935546875,0.1803949475182351,446941.25925925927,54.0,1205.0,308578.6569685591,3.906,4.464,0.558
2019-02,57.0,41.0,79.0,12928.549668874171,0.137385362344902,425027.54,50.0,1096.0,309356.5436422743,3.8,4.37,0.57
2019-03,60.0,39.0,60.0,15258.336666666666,0.1483078964830789,471068.6125,80.0,1429.0,310420.6898020368,3.717,4.265,0.547
2019-04,61.0,38.0,53.0,15374.369188696444,0.1613385121003884,380160.3086419753,82.0,1584.0,311874.733965874,3.605,4.143,0.537
