DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,CityName
2008-04-30,155566.0,1939.0,278000302.0,154159.71282079644,157939.05223751217,,,,,,,,,,,,5.465,5.918,0.452,1047.0,-1.8,"CINCINNATI, OH"
2008-05-31,158474.0,2190.0,315975507.0,154896.9737525989,157678.46222056783,,,,,,,,,,,,5.6,6.036,0.436,1045.6,-1.8,"CINCINNATI, OH"
2008-06-30,164199.0,2286.0,352017758.0,155768.803669473,157332.61586451862,,,,,,,,,,,,5.91,6.32,0.41,1041.2,-1.3,"CINCINNATI, OH"
2008-07-31,167422.0,2224.0,374100404.0,156376.8212972934,157143.82668387462,,,,,,,,,,,,5.972,6.426,0.454,1045.1,-0.6,"CINCINNATI, OH"
2008-08-31,166249.0,2193.0,371690060.0,155577.84957793888,156653.27446054222,,,,,,,,,,,,6.025,6.478,0.452,1043.8,-0.6,"CINCINNATI, OH"
2008-09-30,157584.0,2029.0,339229889.0,154620.0645966383,155964.2892358684,,,,,,,,,,,,5.64,6.037,0.397,1036.7,-1.5,"CINCINNATI, OH"
2008-10-31,150456.0,1933.0,309284292.0,152705.34131970003,154877.33029329666,,,,,,,,,,,,5.892,6.2,0.308,1036.5,-2.9,"CINCINNATI, OH"
2008-11-30,143683.0,1416.0,258672549.0,151320.6967046522,153910.02144213082,,,,,,,,,,,,5.79,6.088,0.297,1029.4,-4.8,"CINCINNATI, OH"
2008-12-31,140014.0,1562.0,229949978.0,148833.91273926134,152795.60403479604,,,,,,,,,,,,5.038,5.286,0.248,1027.5,-3.1,"CINCINNATI, OH"
2009-01-31,132568.0,1084.0,180762632.0,145167.60420523965,151296.0744177951,,,,,,,,,,,,4.718,5.047,0.33,1018.4,-6.0,"CINCINNATI, OH"
2009-02-28,129845.0,1353.0,174178771.0,142602.28018552568,149354.61066617898,,,,,,,,,,,,4.772,5.13,0.358,1011.7,-5.9,"CINCINNATI, OH"
2009-03-31,129721.0,1625.0,176848182.0,143255.74587491548,147963.55871666348,,,,,,,,,,,,4.638,5.003,0.365,1002.4,-8.4,"CINCINNATI, OH"
