DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,People25PlusThousands_2019,PctHighSchoolDiploma_2019,PctBachelorsDegree_2019,CityName
2008-04-30,245069.0,4305.0,927584773.0,239786.7273963673,243635.27912038472,,,,,,,,,,,,5.465,5.918,0.452,1259.0,1.0,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-05-31,242919.0,4779.0,1043793571.0,240755.6202185876,242719.1307939523,,,,,,,,,,,,5.6,6.036,0.436,1256.8,-1.0,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-06-30,245529.0,4789.0,1136319647.0,241296.2237004798,241952.1651907292,,,,,,,,,,,,5.91,6.32,0.41,1258.2,-0.6,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-07-31,247607.0,4922.0,1195890257.0,240843.49480345112,240801.4646206257,,,,,,,,,,,,5.972,6.426,0.454,1256.1,-1.0,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-08-31,246384.0,4333.0,1154412146.0,239424.93108733595,239672.2705006396,,,,,,,,,,,,6.025,6.478,0.452,1256.2,-0.2,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-09-30,239526.0,4419.0,1092868345.0,237754.2717466104,238708.4498596492,,,,,,,,,,,,5.64,6.037,0.397,1253.4,-1.6,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-10-31,233916.0,4257.0,1014419831.0,235672.11194564428,238042.47314100616,,,,,,,,,,,,5.892,6.2,0.308,1247.0,-3.0,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-11-30,224671.0,2935.0,875592423.0,232912.2839844245,237360.8549684393,,,,,,,,,,,,5.79,6.088,0.297,1242.7,-4.5,2434.5429,91.688128,49.747029,"DENVER, CO"
2008-12-31,220727.0,3112.0,761925786.0,230464.4654008753,236512.8454212593,,,,,,,,,,,,5.038,5.286,0.248,1236.8,-5.5,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-01-31,210820.0,2412.0,596991121.0,228415.12465886428,235643.1226480529,,,,,,,,,,,,4.718,5.047,0.33,1230.7,-5.4,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-02-28,210680.0,2652.0,576624825.0,228147.33306325,235131.9347918001,,,,,,,,,,,,4.772,5.13,0.358,1219.3,-7.8,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-03-31,212436.0,3232.0,591138846.0,230016.3505724544,234940.10230634976,,,,,,,,,,,,4.638,5.003,0.365,1210.8,-8.7,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-04-30,220826.0,3290.0,677160177.0,231602.5877475253,234858.8762703717,,,,,,,,,,,,4.5,4.81,0.31,1203.4,-9.1,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-05-31,228977.0,3621.0,774999854.0,233815.83510468752,234832.25511465225,,,,,,,,,,,,4.515,4.857,0.343,1199.6,-6.6,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-06-30,236562.0,4124.0,873527859.0,235016.1790131701,234723.7466894448,,,,,,,,,,,,4.902,5.42,0.518,1196.9,-4.6,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-07-31,243477.0,4295.0,978528985.0,235005.802545709,234421.5342656297,,,,,,,,,,,,4.692,5.222,0.53,1194.2,-3.1,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-08-31,246063.0,3791.0,1001702029.0,234738.94246945772,234105.8888584668,,,,,,,,,,,,4.612,5.192,0.58,1191.7,-2.6,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-09-30,242900.0,3695.0,954421565.0,233494.4380246357,233865.62490289492,,,,,,,,,,,,4.492,5.058,0.565,1191.3,-1.9,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-10-31,238483.0,3921.0,906491294.0,232077.94637359085,233932.93582850983,,,,,,,,,,,,4.39,4.952,0.562,1189.1,-1.7,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-11-30,234294.0,3436.0,863256662.0,230593.7141243328,234014.9318480563,,,,,,,,,,,,4.343,4.875,0.532,1188.1,-1.2,2434.5429,91.688128,49.747029,"DENVER, CO"
2009-12-31,236566.0,2963.0,811566411.0,229564.89528741047,234241.62260757267,,,,,,,,,,,,4.392,4.93,0.538,1186.9,-1.5,2434.5429,91.688128,49.747029,"DENVER, CO"
2010-01-31,238890.0,2173.0,681278789.0,229494.5755366756,234883.99612748652,,,,,,,,,,,,4.435,5.03,0.595,1184.6,-1.5,2434.5429,91.688128,49.747029,"DENVER, CO"
2010-02-28,241709.0,2435.0,611007588.0,230752.25857771767,235941.64880312103,,,,,,,,,,,,4.367,4.99,0.622,1187.6,-0.2,2434.5429,91.688128,49.747029,"DENVER, CO"
2010-03-31,240433.0,3660.0,663550996.0,232927.33178691028,236933.60134258508,,,,,,,,,,,,4.33,4.968,0.637,1187.8,0.3,2434.5429,91.688128,49.747029,"DENVER, CO"
2010-04-30,242863.0,4134.0,829982176.0,234310.77184715745,237337.2054844605,,,,,,,,,,,,4.418,5.098,0.68,1189.9,1.8,2434.5429,91.688128,49.747029,"DENVER, CO"
2010-05-31,245164.0,4259.0,985478248.0,236020.0335839569,237136.71433727536,,,,,,,,,,,,4.277,4.888,0.61,1192.9,1.8,2434.5429,91.688128,49.747029,"DENVER, CO"
