DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,CityName
2008-04-30,149771.0,2151.0,291536100.0,131097.9695533933,133638.66626641402,,,,,,,,,,,,5.465,5.918,0.452,956.7,0.2,"INDIANAPOLIS, IN"
2008-05-31,151827.0,2430.0,331352084.0,132148.04567036484,133520.37981513588,,,,,,,,,,,,5.6,6.036,0.436,958.9,0.5,"INDIANAPOLIS, IN"
2008-06-30,154789.0,2438.0,362561539.0,132930.78230576302,133559.34319259794,,,,,,,,,,,,5.91,6.32,0.41,958.2,0.3,"INDIANAPOLIS, IN"
2008-07-31,157222.0,2457.0,383886935.0,133222.59710151685,133449.28541284314,,,,,,,,,,,,5.972,6.426,0.454,961.2,1.5,"INDIANAPOLIS, IN"
2008-08-31,154119.0,2309.0,370365976.0,133037.4833974678,133164.0699949772,,,,,,,,,,,,6.025,6.478,0.452,959.9,0.3,"INDIANAPOLIS, IN"
2008-09-30,151436.0,2183.0,351219706.0,132490.54096067417,132627.7393801319,,,,,,,,,,,,5.64,6.037,0.397,955.2,-1.0,"INDIANAPOLIS, IN"
2008-10-31,147179.0,1852.0,311521468.0,132018.52968719954,132178.958918009,,,,,,,,,,,,5.892,6.2,0.308,952.0,-3.1,"INDIANAPOLIS, IN"
2008-11-30,142910.0,1481.0,264281992.0,131028.36536793689,131649.53145692078,,,,,,,,,,,,5.79,6.088,0.297,946.1,-4.6,"INDIANAPOLIS, IN"
2008-12-31,140789.0,1654.0,234623077.0,129153.10252976276,130993.71142555756,,,,,,,,,,,,5.038,5.286,0.248,939.0,-5.4,"INDIANAPOLIS, IN"
2009-01-31,136915.0,1163.0,196819979.0,128186.39623229686,130370.4411818811,,,,,,,,,,,,4.718,5.047,0.33,933.8,-6.1,"INDIANAPOLIS, IN"
2009-02-28,133182.0,1301.0,183836810.0,126772.38431947277,129837.36438636872,,,,,,,,,,,,4.772,5.13,0.358,929.4,-5.6,"INDIANAPOLIS, IN"
2009-03-31,129255.0,1761.0,181983434.0,126383.8995610976,129600.233024445,,,,,,,,,,,,4.638,5.003,0.365,922.4,-5.5,"INDIANAPOLIS, IN"
2009-04-30,127609.0,1861.0,209950155.0,126880.0351934384,129494.6122747897,,,,,,,,,,,,4.5,4.81,0.31,913.8,-6.7,"INDIANAPOLIS, IN"
2009-05-31,135614.0,2108.0,260245036.0,127910.3589681522,129586.53254959465,,,,,,,,,,,,4.515,4.857,0.343,911.0,-6.1,"INDIANAPOLIS, IN"
2009-06-30,141726.0,2502.0,307685625.0,128563.3222004704,129762.35144437684,,,,,,,,,,,,4.902,5.42,0.518,908.7,-4.6,"INDIANAPOLIS, IN"
2009-07-31,150157.0,2497.0,355965291.0,129177.9982144948,129866.65446606524,,,,,,,,,,,,4.692,5.222,0.53,906.5,-2.4,"INDIANAPOLIS, IN"
2009-08-31,150116.0,2358.0,368224303.0,129283.06371872305,129890.47609491824,,,,,,,,,,,,4.612,5.192,0.58,906.9,-1.4,"INDIANAPOLIS, IN"
2009-09-30,147386.0,2202.0,347362711.0,129419.33850901722,129908.5699581956,,,,,,,,,,,,4.492,5.058,0.565,906.6,-0.7,"INDIANAPOLIS, IN"
2009-10-31,143727.0,2331.0,330327446.0,128954.13624985072,129831.45957350243,,,,,,,,,,,,4.39,4.952,0.562,904.3,-0.7,"INDIANAPOLIS, IN"
2009-11-30,140390.0,2036.0,307633403.0,129096.94069372745,129879.34817163064,,,,,,,,,,,,4.343,4.875,0.532,907.3,0.1,"INDIANAPOLIS, IN"
2009-12-31,139294.0,1888.0,290880631.0,128857.30715831857,130036.55286628607,,,,,,,,,,,,4.392,4.93,0.538,905.9,-0.2,"INDIANAPOLIS, IN"
2010-01-31,137365.0,1122.0,231189683.0,127808.16808430848,130179.33735823144,,,,,,,,,,,,4.435,5.03,0.595,909.0,1.6,"INDIANAPOLIS, IN"
2010-02-28,137666.0,1408.0,202699255.0,127812.39399018594,130472.0186118491,,,,,,,,,,,,4.367,4.99,0.622,907.0,-0.1,"INDIANAPOLIS, IN"
2010-03-31,141072.0,1957.0,212516103.0,127999.97435411737,130739.80808253532,,,,,,,,,,,,4.33,4.968,0.637,908.4,0.8,"INDIANAPOLIS, IN"
2010-04-30,143819.0,2345.0,274789210.0,128447.53899282386,131133.6648300038,,,,,,,,,,,,4.418,5.098,0.68,913.2,1.4,"INDIANAPOLIS, IN"
2010-05-31,147936.0,2636.0,342550578.0,129406.56208067076,131270.90521687435,,,,,,,,,,,,4.277,4.888,0.61,915.0,2.7,"INDIANAPOLIS, IN"
2010-06-30,151462.0,2491.0,377542083.0,130121.10522426602,131322.91072224185,,,,,,,,,,,,4.175,4.737,0.562,913.9,1.8,"INDIANAPOLIS, IN"
2010-07-31,156364.0,1736.0,356577867.0,129576.17108004387,131004.08392346885,,,,,,,,,,,,4.04,4.564,0.524,914.0,0.3,"INDIANAPOLIS, IN"
2010-08-31,157630.0,1977.0,325828262.0,128951.08582982632,130440.4217560842,,,,,,,,,,,,3.908,4.428,0.52,914.2,-0.3,"INDIANAPOLIS, IN"
2010-09-30,154471.0,1782.0,282901240.0,127514.19903368333,129389.47416620488,,,,,,,,,,,,3.81,4.346,0.536,907.5,-2.1,"INDIANAPOLIS, IN"
2010-10-31,150887.0,1649.0,272355399.0,126620.36931327288,128475.09813035556,,,,,,,,,,,,3.66,4.225,0.565,916.3,0.8,"INDIANAPOLIS, IN"
2010-11-30,147603.0,1468.0,241205091.0,125653.91828509013,127549.51948388256,,,,,,,,,,,,3.683,4.3,0.618,916.0,0.6,"INDIANAPOLIS, IN"
2010-12-31,146962.0,1712.0,236647455.0,124689.23437786044,126965.49400034208,,,,,,,,,,,,4.058,4.714,0.656,917.4,3.3,"INDIANAPOLIS, IN"
2011-01-31,143076.0,1222.0,210669359.0,123540.0100259984,126440.56108043651,,,,,,,,,,,,4.088,4.755,0.667,919.9,1.2,"INDIANAPOLIS, IN"
2011-02-28,140497.0,1220.0,195509633.0,122323.20936234824,125985.53668522422,,,,,,,,,,,,4.215,4.952,0.738,920.2,1.4,"INDIANAPOLIS, IN"
2011-03-31,138785.0,1804.0,196911069.0,122069.77554023216,125580.96498878195,,,,,,,,,,,,4.08,4.836,0.756,922.6,1.7,"INDIANAPOLIS, IN"
2011-04-30,141829.0,1984.0,237872877.0,122159.58817336187,125221.78231887073,,,,,,,,,,,,4.055,4.84,0.785,925.4,1.8,"INDIANAPOLIS, IN"
2011-05-31,145952.0,2173.0,290539521.0,121977.82056628814,124681.79771023738,,,,,,,,,,,,3.822,4.638,0.815,926.4,2.1,"INDIANAPOLIS, IN"
2011-06-30,151120.0,2370.0,329442550.0,122276.77056992128,124079.54935913366,,,,,,,,,,,,3.694,4.51,0.816,923.8,0.4,"INDIANAPOLIS, IN"
2011-07-31,156608.0,2193.0,351691568.0,123134.12664310758,123681.17439069173,,,,,,,,,,,,3.68,4.545,0.865,933.7,2.8,"INDIANAPOLIS, IN"
2011-08-31,158638.0,2326.0,364060826.0,123567.35724782584,123731.63378907298,,,,,,,,,,,,3.46,4.27,0.81,931.4,1.7,"INDIANAPOLIS, IN"
2011-09-30,157161.0,1928.0,338115524.0,123688.41177741384,123966.91341861124,,,,,,,,,,,,3.318,4.106,0.788,934.3,3.5,"INDIANAPOLIS, IN"
2011-10-31,153684.0,1759.0,308405703.0,123189.99233038956,124033.80243357008,,,,,,,,,,,,3.348,4.067,0.72,937.2,1.2,"INDIANAPOLIS, IN"
2011-11-30,152383.0,1646.0,270892978.0,122215.83665512232,123785.14264146565,,,,,,,,,,,,3.305,3.993,0.688,937.2,1.9,"INDIANAPOLIS, IN"
2011-12-31,147089.0,1745.0,252361751.0,121341.6731873374,123403.52700271194,,,,,,,,,,,,3.246,3.958,0.712,942.8,2.8,"INDIANAPOLIS, IN"
