DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,People25PlusThousands_2019,PctHighSchoolDiploma_2019,PctBachelorsDegree_2019,CityName
2008-04-30,279826.0,1094.0,268863782.0,275076.9890420898,286193.35780638194,,,,,,,,,,,,5.465,5.918,0.452,578.1,-0.9,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-05-31,287299.0,1278.0,324116899.0,274598.05530675704,283995.275711315,,,,,,,,,,,,5.6,6.036,0.436,576.2,-1.3,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-06-30,291347.0,1439.0,371228964.0,274776.04880445375,281705.3315547377,,,,,,,,,,,,5.91,6.32,0.41,574.6,-1.6,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-07-31,294474.0,1368.0,401046568.0,273315.0384012916,279020.1362893703,,,,,,,,,,,,5.972,6.426,0.454,572.9,-1.7,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-08-31,292317.0,1240.0,394628893.0,271264.245006341,275929.89431502303,,,,,,,,,,,,6.025,6.478,0.452,570.9,-1.8,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-09-30,282839.0,1128.0,352956534.0,268807.5485052821,272666.479110975,,,,,,,,,,,,5.64,6.037,0.397,569.0,-1.9,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-10-31,277533.0,1231.0,333226245.0,264392.3567831068,269248.4079398835,,,,,,,,,,,,5.892,6.2,0.308,566.6,-2.1,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-11-30,263651.0,935.0,290856461.0,259439.79621263035,265950.74282011745,,,,,,,,,,,,5.79,6.088,0.297,563.1,-2.6,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2008-12-31,253585.0,970.0,266850508.0,254871.5818943008,262666.8424735749,,,,,,,,,,,,5.038,5.286,0.248,560.5,-2.8,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
2009-01-31,239600.0,701.0,208798837.0,249889.33341794604,259598.9855308584,,,,,,,,,,,,4.718,5.047,0.33,555.8,-3.6,5757.78597,93.596408,46.976027,"PROVIDENCE, RI"
