DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,People25PlusThousands_2019,PctHighSchoolDiploma_2019,PctBachelorsDegree_2019,CityName
2008-04-30,211207.0,2794.0,521732716.0,185862.20303007457,192542.17330371344,,,,,,,,,,,,5.465,5.918,0.452,1199.2,-5.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-05-31,213179.0,2823.0,578339406.0,183472.68740594288,189275.3858886124,,,,,,,,,,,,5.6,6.036,0.436,1195.7,-6.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-06-30,211632.0,2926.0,602587341.0,181305.56931197253,186093.36873711096,,,,,,,,,,,,5.91,6.32,0.41,1192.0,-5.9,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-07-31,211499.0,2910.0,610305608.0,178918.6438099312,182949.5263905558,,,,,,,,,,,,5.972,6.426,0.454,1185.3,-4.6,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-08-31,205078.0,2676.0,582528046.0,176202.71404244032,179726.91347277488,,,,,,,,,,,,6.025,6.478,0.452,1182.3,-4.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-09-30,198910.0,2626.0,545428683.0,173358.39391392344,176442.7381163866,,,,,,,,,,,,5.64,6.037,0.397,1176.2,-5.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-10-31,187551.0,2511.0,489077532.0,169432.69868283108,173094.62496449216,,,,,,,,,,,,5.892,6.2,0.308,1169.2,-5.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-11-30,177324.0,2028.0,425789923.0,164199.84629948568,169484.70408902282,,,,,,,,,,,,5.79,6.088,0.297,1161.5,-6.9,2293.35917,93.139933,33.616856,"TAMPA, FL"
2008-12-31,173462.0,2528.0,409803365.0,160236.4865692532,165981.6190442754,,,,,,,,,,,,5.038,5.286,0.248,1157.4,-6.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-01-31,170133.0,1996.0,373091675.0,156890.12773189694,162789.30072345922,,,,,,,,,,,,4.718,5.047,0.33,1147.5,-7.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-02-28,166687.0,2274.0,378891736.0,153012.78030193236,159886.62843955532,,,,,,,,,,,,4.772,5.13,0.358,1139.6,-7.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-03-31,162331.0,2795.0,382643420.0,150976.3723368426,157235.41023898844,,,,,,,,,,,,4.638,5.003,0.365,1131.4,-8.7,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-04-30,161976.0,2919.0,432420268.0,148671.55271996369,154353.11798313135,,,,,,,,,,,,4.5,4.81,0.31,1125.7,-7.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-05-31,166106.0,2910.0,477502580.0,147084.22840972405,151819.2735161801,,,,,,,,,,,,4.515,4.857,0.343,1120.4,-6.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-06-30,167697.0,3491.0,521537561.0,146032.36475588585,149391.9871455412,,,,,,,,,,,,4.902,5.42,0.518,1115.9,-5.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-07-31,169149.0,3390.0,552224689.0,144968.72593863023,147411.69694107995,,,,,,,,,,,,4.692,5.222,0.53,1111.6,-4.7,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-08-31,168560.0,3089.0,560449396.0,142975.89603949623,145342.42807964815,,,,,,,,,,,,4.612,5.192,0.58,1108.4,-4.0,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-09-30,167421.0,3292.0,545379176.0,142056.55365316133,143447.30328326192,,,,,,,,,,,,4.492,5.058,0.565,1105.9,-3.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-10-31,162962.0,3393.0,530418458.0,140726.9696813468,141834.9346010781,,,,,,,,,,,,4.39,4.952,0.562,1104.3,-2.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-11-30,159669.0,2973.0,514188728.0,139732.4049325709,140989.94610017355,,,,,,,,,,,,4.343,4.875,0.532,1101.0,-2.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2009-12-31,156905.0,3429.0,512348360.0,138136.99992492984,140348.83092337634,,,,,,,,,,,,4.392,4.93,0.538,1098.5,-2.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-01-31,157298.0,2359.0,459825225.0,137580.43943101072,140064.99652090456,,,,,,,,,,,,4.435,5.03,0.595,1098.0,-2.1,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-02-28,155990.0,2631.0,438519749.0,137020.45428566277,139841.52688105087,,,,,,,,,,,,4.367,4.99,0.622,1099.8,-0.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-03-31,157117.0,3738.0,459101009.0,136552.2416409395,139662.42986396395,,,,,,,,,,,,4.33,4.968,0.637,1101.3,0.9,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-04-30,159478.0,3941.0,550806135.0,137210.58973528713,139416.66310909975,,,,,,,,,,,,4.418,5.098,0.68,1098.0,0.0,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-05-31,163241.0,3680.0,618076098.0,137553.8521217665,139118.78031050123,,,,,,,,,,,,4.277,4.888,0.61,1108.8,3.0,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-06-30,164054.0,4017.0,636435135.0,137296.07752895943,138724.68882032923,,,,,,,,,,,,4.175,4.737,0.562,1108.4,2.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-07-31,163090.0,3072.0,586159749.0,136477.90390518744,137909.806043318,,,,,,,,,,,,4.04,4.564,0.524,1107.5,3.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-08-31,161641.0,3016.0,545476930.0,135687.55873365203,136779.18985582984,,,,,,,,,,,,3.908,4.428,0.52,1109.4,0.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-09-30,159185.0,3021.0,483359222.0,133904.8519068824,135292.61410891972,,,,,,,,,,,,3.81,4.346,0.536,1107.0,-0.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-10-31,156911.0,2841.0,464543520.0,132035.8043832261,133803.4841692973,,,,,,,,,,,,3.66,4.225,0.565,1113.0,1.8,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-11-30,154837.0,2741.0,444217386.0,129749.9503178073,132212.23647639065,,,,,,,,,,,,3.683,4.3,0.618,1110.1,0.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2010-12-31,152893.0,3677.0,471484034.0,127764.51230488469,130903.45345770342,,,,,,,,,,,,4.058,4.714,0.656,1113.5,2.2,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-01-31,145326.0,2861.0,450858336.0,125208.33433920964,129417.28996953506,,,,,,,,,,,,4.088,4.755,0.667,1114.0,0.3,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-02-28,139629.0,3101.0,451613889.0,122523.04071601434,127679.57258338096,,,,,,,,,,,,4.215,4.952,0.738,1116.5,2.1,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-03-31,136445.0,4305.0,469630355.0,121606.55934838348,125940.42010666017,,,,,,,,,,,,4.08,4.836,0.756,1117.8,1.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-04-30,142634.0,4055.0,546833946.0,120361.6282151238,124172.72803223525,,,,,,,,,,,,4.055,4.84,0.785,1118.5,1.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-05-31,145954.0,3887.0,595478704.0,119524.30281268588,122668.47242045756,,,,,,,,,,,,3.822,4.638,0.815,1119.3,0.9,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-06-30,150379.0,4045.0,601071856.0,118955.3475379172,121133.0023698453,,,,,,,,,,,,3.694,4.51,0.816,1120.3,0.8,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-07-31,150170.0,3599.0,577598601.0,118166.66399901822,119812.67365086325,,,,,,,,,,,,3.68,4.545,0.865,1124.6,2.0,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-08-31,152822.0,3791.0,582968947.0,117636.81474467755,118650.84102943876,,,,,,,,,,,,3.46,4.27,0.81,1127.9,2.9,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-09-30,151379.0,3497.0,549557766.0,117689.93916788689,117812.52486908268,,,,,,,,,,,,3.318,4.106,0.788,1133.9,4.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-10-31,149218.0,3254.0,525406401.0,117586.30964936598,117490.16194499622,,,,,,,,,,,,3.348,4.067,0.72,1132.1,2.5,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-11-30,143415.0,3038.0,469039587.0,116592.99944686664,117380.62209021536,,,,,,,,,,,,3.305,3.993,0.688,1130.9,1.0,2293.35917,93.139933,33.616856,"TAMPA, FL"
2011-12-31,143005.0,3606.0,473047987.0,115686.4747141478,117305.34244166689,,,,,,,,,,,,3.246,3.958,0.712,1135.1,0.4,2293.35917,93.139933,33.616856,"TAMPA, FL"
2012-01-31,142354.0,2858.0,452391102.0,114487.440861506,116967.89847694935,,,,,,,,,,,,3.2,3.915,0.715,1139.8,2.6,2293.35917,93.139933,33.616856,"TAMPA, FL"
2012-02-29,143409.0,3287.0,467223195.0,114626.04971389756,116912.4809955344,,,,,,,,,,,,3.163,3.89,0.728,,,2293.35917,93.139933,33.616856,"TAMPA, FL"
2012-03-31,142950.0,4154.0,492666125.0,115467.201311913,117102.33305275442,,,,,,,,,,,,3.198,3.954,0.756,1143.4,2.8,2293.35917,93.139933,33.616856,"TAMPA, FL"
2012-04-30,149361.0,4047.0,574267212.0,116824.25697070964,117700.79206365148,,,,,,,,,,,,3.143,3.91,0.767,1145.3,1.8,2293.35917,93.139933,33.616856,"TAMPA, FL"
2012-05-31,156388.0,4351.0,654523323.0,118006.8946048606,118338.99701179093,,,,,,,,,,,,3.034,3.798,0.764,1147.4,2.1,2293.35917,93.139933,33.616856,"TAMPA, FL"
