YRS,CL,PC,CD,CL.1,PC.1,CD.1,CL.2,PC.2,CD.2,CL.3,PC.3,CD.3,CL.4,PC.4,CD.4,CL.5,PC.5,CD.5,CL.6,PC.6,CD.6,CL.7,PC.7,CD.7,CL.8,PC.8,CD.8,CL.9,PC.9,CD.9,CL.10,PC.10,CD.10,CL.11,PC.11,CD.11,CL.12,PC.12,CD.12,ID,CITY,STATE
37,7,6,18,7,6,15,7,8,16,9,8,13,8,11,12,7,13,10,5,14,12,7,15,10,9,9,11,14,8,9,10,7,13,8,7,16,99,111,155,13876,BIRMINGHAM AP,AL
27,7,6,18,7,6,16,7,8,17,9,7,14,8,10,14,8,11,11,7,13,11,9,13,10,9,9,12,12,7,12,9,7,14,8,6,18,100,101,164,03856,HUNTSVILLE, AL
47,8,6,17,8,7,14,9,8,14,9,9,12,9,11,11,7,14,9,4,15,12,6,15,10,9,10,11,14,8,9,11,7,12,9,6,16,102,116,147,13894,MOBILE, AL
51,7,6,17,8,6,14,8,8,15,10,8,12,9,10,12,8,12,10,6,14,11,8,14,9,10,9,11,14,7,10,11,6,13,9,6,16,107,107,151,13895,MONTGOMERY, AL
44,7,5,19,6,4,18,8,5,18,6,6,18,4,7,20,3,7,20,3,6,22,3,6,22,4,5,21,5,5,21,6,5,20,6,4,21,61,65,239,26451,ANCHORAGE, AK
41,4,4,23,3,4,21,4,5,23,3,6,21,4,7,21,2,6,21,4,6,21,4,6,21,4,6,21,2,4,25,3,3,24,3,4,24,40,60,265,25308,ANNETTE, AK
54,6,2,3,12,6,11,14,7,10,11,7,12,3,5,23,3,6,21,3,7,21,1,4,26,1,3,26,2,4,25,6,3,11,4,0,0,66,52,187,27502,BARROW, AK
34,8,5,18,10,4,14,9,5,16,6,6,17,4,8,20,2,7,21,2,5,24,2,4,26,2,5,23,4,5,22,6,5,19,8,5,18,62,65,239,26615,BETHEL, AK
5,15,5,11,10,4,14,9,5,16,7,10,13,7,11,13,4,13,13,2,10,19,2,8,21,7,7,16,5,6,21,9,6,14,9,7,15,86,93,187,26533,BETTLES,AK
3,14,8,9,5,7,17,8,8,15,2,9,20,2,11,18,4,9,17,*,8,22,2,8,21,5,7,18,4,5,23,7,6,17,7,7,17,60,93,212,26415,BIG DELTA,AK
42,2,5,23,2,5,22,2,6,23,1,4,26,*,3,27,*,3,27,*,2,28,*,2,29,*,4,26,1,5,25,1,6,23,2,5,24,10,50,304,25624,COLD BAY,AK
45,9,6,16,8,6,14,10,7,14,7,8,16,5,11,15,3,10,17,3,9,19,3,7,21,4,6,20,4,5,22,7,5,18,7,6,18,70,86,210,26411,FAIRBANKS, AK
5,15,4,12,6,4,18,9,6,15,5,10,15,3,10,18,2,10,18,4,9,18,3,9,19,6,8,17,3,7,21,5,5,21,7,7,17,67,89,209,26425,GULKANA,AK
15,8,4,19,7,4,17,6,6,19,5,6,18,4,7,20,4,8,18,3,9,19,5,8,18,5,7,18,5,5,21,6,5,19,7,5,18,65,75,225,25507,HOMER, AK
47,6,3,23,4,3,21,4,3,23,4,4,22,4,4,23,3,4,22,3,5,23,4,5,22,3,3,24,2,2,27,4,2,24,3,2,25,44,41,280,25309,JUNEAU, AK
42,8,5,18,7,5,16,8,6,18,4,7,20,3,6,22,1,5,24,1,5,25,1,5,25,2,6,22,4,7,20,6,5,19,7,6,19,51,69,245,25503,KING SALMON, AK
25,5,6,20,6,5,18,6,7,18,4,6,19,3,5,22,3,6,21,3,6,22,4,7,20,4,7,19,6,8,17,7,7,16,6,6,19,59,74,232,25501,KODIAK, AK
52,11,4,16,12,3,13,12,6,13,10,7,13,8,9,14,6,10,14,4,8,19,4,6,21,6,5,19,8,5,19,9,4,17,11,4,16,100,72,193,26616,KOTZEBUE, AK
55,9,5,17,9,4,15,9,6,15,7,7,15,4,8,19,2,9,19,2,8,21,2,5,23,3,5,22,4,5,22,6,4,19,8,5,19,67,72,226,26510,MCGRATH, AK
51,10,4,17,12,4,13,11,5,14,9,6,14,7,8,16,6,9,15,4,7,20,3,6,22,5,6,20,7,6,18,7,4,18,10,4,17,91,69,205,26617,NOME, AK
66,2,6,23,3,6,20,3,7,21,2,6,22,1,4,26,1,3,26,1,2,28,1,3,28,1,5,24,1,7,23,1,6,22,1,5,24,18,61,287,25713,ST. PAUL ISLAND, AK
10,6,4,21,8,4,16,9,4,18,5,5,18,6,6,19,1,12,17,5,7,19,3,11,17,5,4,19,6,5,20,7,3,19,5,2,22,67,67,225,26528,TALKEETNA, AK
4,8,4,20,10,3,15,10,6,15,9,5,16,5,9,17,5,7,18,2,8,21,6,6,20,4,7,19,6,5,21,8,5,18,11,4,16,83,67,215,26627,UNALAKLEET, AK
26,5,4,21,5,3,20,8,4,19,6,6,19,4,7,20,3,6,20,3,5,23,4,7,20,4,5,21,4,4,23,6,4,20,5,3,23,57,57,251,26442,VALDEZ, AK
48,5,3,22,4,3,21,5,4,22,4,5,21,2,5,24,2,5,24,2,4,25,3,4,24,3,4,24,3,3,25,4,3,23,4,3,24,41,46,278,25339,YAKUTAT, AK
43,12,6,12,11,6,11,12,8,12,12,9,9,15,9,7,18,8,4,9,13,9,10,13,8,16,10,5,17,7,7,15,7,8,14,6,11,162,102,102,03103,FLAGSTAFF, AZ
57,14,7,10,13,7,9,14,8,8,17,7,6,21,7,3,23,5,2,17,10,4,18,10,4,22,5,3,20,6,4,18,6,6,15,6,9,211,85,70,23183,PHOENIX, AZ
55,14,7,10,13,7,9,15,7,9,17,7,6,20,7,4,21,6,3,10,12,9,12,12,7,19,7,4,20,6,5,18,6,6,15,6,10,193,91,81,23160,TUCSON, AZ
37,12,7,12,12,7,10,13,9,9,15,9,7,17,9,5,20,7,4,11,12,8,12,13,6,18,8,4,19,7,6,16,6,8,14,7,10,177,99,89,23194,WINSLOW, AZ
32,15,7,9,15,7,6,17,7,6,21,6,4,24,5,2,25,4,1,20,8,3,22,6,3,24,4,2,23,5,3,19,6,5,17,7,8,242,71,52,23195,YUMA, AZ
49,9,6,16,9,6,14,9,7,15,9,7,14,8,10,13,10,10,10,12,11,8,12,11,8,12,8,10,14,7,11,11,6,13,10,7,15,123,95,147,13964,FORT SMITH, AR
35,9,6,16,9,6,13,9,7,15,9,7,14,8,11,12,9,12,9,9,13,9,12,11,9,11,9,10,14,7,9,11,6,13,9,6,16,119,100,147,13963,LITTLE ROCK, AR
55,7,8,17,7,8,13,10,9,12,12,9,9,18,9,5,23,5,2,26,3,1,26,4,1,24,4,2,19,7,5,12,8,10,7,8,16,191,81,93,23155,BAKERSFIELD, CA
29,11,8,12,11,8,10,13,9,9,14,9,7,15,10,6,20,7,3,22,7,2,23,6,2,23,5,2,20,7,5,15,8,7,14,7,9,201,89,75,23157,BISHOP, CA
31,9,5,17,8,5,15,9,6,17,10,7,13,12,8,11,18,5,6,26,4,1,25,4,2,22,4,3,17,6,9,10,5,15,9,5,17,174,64,126,23225,BLUE CANYON, CA
95,6,6,19,5,6,17,5,8,17,6,8,16,6,10,14,7,10,13,6,11,14,6,11,15,9,9,12,8,9,14,6,7,17,6,7,18,77,102,186,24213,EUREKA, CA.
46,5,7,19,8,8,13,11,8,12,14,8,8,18,8,5,23,5,2,27,3,1,26,3,1,24,4,2,20,6,5,12,7,11,7,6,18,194,73,98,93193,FRESNO, CA
38,12,8,11,10,7,11,11,9,11,12,10,8,10,13,8,12,12,6,18,11,2,19,10,2,15,11,4,13,11,7,13,8,8,13,8,10,159,119,87,23129,LONG BEACH, CA
60,12,8,11,11,6,11,12,9,11,11,9,9,10,11,10,10,11,9,13,13,5,14,12,5,13,10,6,13,10,8,15,8,8,13,8,10,147,116,103,23174,LOS ANGELES AP, CA
34,14,8,9,12,7,9,13,9,9,12,10,8,11,12,8,14,10,6,21,9,1,22,7,1,18,8,3,16,9,6,16,7,6,15,8,8,186,106,73,93134,LOS ANGELES C.O., CA
22,9,6,16,8,7,13,8,8,15,10,10,10,12,8,10,16,7,7,25,5,2,24,4,2,21,5,4,14,7,9,9,7,13,7,8,16,164,83,118,24215,MOUNT SHASTA, CA
