POR,Unnamed: 2,JAN,Unnamed: 4,FEB,Unnamed: 6,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,Unnamed: 15,NOV,Unnamed: 17,DEC,ANN,ID,CITY,STATE
193001-202012,0,,0,,0,*,3,13,19,18,8,*,,0,,0,62,,13876,BIRMINGHAM,AL
195809-202012,0,,0,,0,*,3,12,17,16,7,*,,0,,0,55,,03856,HUNTSVILLE,AL
194801-202012,0,,0,,0,*,5,17,22,21,11,1,,0,,0,77,,13894,MOBILE,AL
194801-202012,0,,0,,0,*,6,18,24,23,13,2,,*,,0,86,,13895,MONTGOMERY,AL
195206-202012,0,,0,,0,0,1,4,7,4,*,0,,0,,0,16,,26451,ANCHORAGE,AK
194102-201909,0,,0,,0,*,2,4,6,7,2,*,,0,,0,20,,25308,ANNETTE,AK
190109-202012,0,,0,,0,0,0,*,*,*,0,0,,0,,0,0,,27502,BARROW,AK
192308-202012,0,,0,,0,0,1,5,6,3,*,0,,0,,0,14,,26615,BETHEL,AK
195105-202012,0,,0,,0,0,2,14,16,6,*,0,,0,,0,39,,26533,BETTLES,AK
191706-202012,0,,0,,0,*,3,11,15,8,*,*,,0,,0,38,,26415,BIG DELTA,AK
195003-202012,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,25624,COLD BAY,AK
192912-202012,0,,0,,0,*,5,17,20,10,1,*,,0,,0,53,,26411,FAIRBANKS,AK
190908-202012,0,,0,,0,*,2,10,14,7,*,0,,0,,0,33,,26425,GULKANA,AK
193209-202012,0,,0,,0,0,*,1,1,1,0,0,,0,,0,3,,25507,HOMER,AK
193609-202012,0,,0,,0,0,0,0,*,0,0,0,,0,,0,0,,25309,JUNEAU,AK
194203-202012,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,25503,KING SALMON,AK
194901-202012,0,,0,,0,0,*,1,3,3,*,0,,0,,0,8,,25501,KODIAK,AK
189710-202012,0,,0,,0,0,*,1,3,1,0,0,,0,,0,5,,26616,KOTZEBUE,AK
194106-202012,0,,0,,0,0,0,*,0,0,0,0,,0,,0,0,,26510,MCGRATH,AK
190009-202012,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,26617,NOME,AK
194901-202005,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,25713,ST. PAUL ISLAND,AK
191807-202012,0,,0,,0,*,2,10,14,8,*,0,,0,,0,35,,26528,TALKEETNA,AK
191705-201402,0,,0,,0,0,1,2,3,2,*,0,,0,,0,8,,26442,VALDEZ,AK
191704-202012,0,,0,,0,0,0,0,0,0,0,0,,0,,0,0,,25339,YAKUTAT,AK
189311-202012,0,,0,,0,0,*,1,2,*,*,0,,0,,0,3,,03103,FLAGSTAFF,AZ
193306-202012,0,,*,,2,10,23,29,31,31,28,16,,1,,0,169,,23183,PHOENIX,AZ
194606-202012,0,,*,,1,6,19,29,29,29,24,11,,*,,0,147,,23160,TUCSON,AZ
189810-202012,0,,0,,0,*,3,19,25,19,7,*,,0,,0,74,,23194,WINSLOW,AZ
194510-202012,0,,0,,*,1,3,15,24,23,11,2,,0,,0,78,,13964,FORT SMITH,AR
193804-202012,0,,0,,*,*,4,16,23,21,10,1,,0,,0,75,,13963,LITTLE ROCK,AR
193710-202012,0,,0,,*,2,9,19,29,27,18,5,,*,,0,110,,23155,BAKERSFIELD,CA
189502-202012,0,,0,,0,*,5,17,28,26,14,1,,0,,0,92,,23157,BISHOP,CA
194312-202012,0,,0,,0,0,0,*,*,*,*,0,,0,,0,1,,23225,BLUE CANYON,CA
194801-202012,0,,0,,*,2,9,19,29,27,18,4,,*,,0,108,,93193,FRESNO,CA
194901-202012,*,,*,,*,1,1,1,3,5,5,3,,1,,*,22,,23129,LONG BEACH,CA
190604-202012,*,,*,,*,1,1,1,3,4,5,3,,1,,*,21,,93134,LOS ANGELES,CA
198609-202012,0,,0,,0,1,7,18,28,27,19,5,,0,,0,105,,24257,REDDING,CA
194112-202012,0,,0,,0,1,5,12,21,19,13,3,,0,,0,74,,23232,SACRAMENTO,CA
193907-202012,0,,*,,*,*,*,*,*,*,1,1,,*,,0,3,,23188,SAN DIEGO,CA
192101-202012,0,,0,,0,*,*,*,*,*,1,*,,0,,0,2,,23272,SAN FRANCISCO,CA
194101-202012,0,,0,,*,*,*,*,*,*,1,1,,*,,0,3,,23190,SANTA BARBARA,CA
194801-202012,0,,0,,*,*,*,*,*,*,1,2,,*,,*,5,,23273,SANTA MARIA,CA
194810-202012,0,,0,,0,1,6,14,24,22,14,3,,0,,0,84,,23237,STOCKTON,CA
194801-202012,0,,0,,0,0,*,1,1,*,0,0,,0,,0,2,,23061,ALAMOSA,CO
194804-202012,0,,0,,0,0,*,5,10,4,1,0,,0,,0,20,,93037,COLORADO SPRINGS,CO
194801-202012,0,,0,,0,*,*,7,15,11,3,0,,0,,0,37,,23062,DENVER,CO
190001-202012,0,,0,,0,0,1,14,24,18,3,0,,0,,0,60,,23066,GRAND JUNCTION,CO
195407-202012,0,,0,,0,*,3,15,23,19,8,*,,0,,0,67,,93058,PUEBLO,CO
194807-202012,0,,0,,0,*,*,1,4,2,*,0,,0,,0,8,,94702,BRIDGEPORT,CT
194901-202012,0,,0,,0,*,1,4,8,5,1,*,,0,,0,19,,14740,HARTFORD,CT
194801-202012,0,,0,,0,*,1,4,9,5,2,*,,0,,0,21,,13781,WILMINGTON,DE
196112-202012,0,,0,,0,*,1,5,12,9,3,*,,0,,0,30,,93738,WASHINGTON DULLES,DC
194507-202012,0,,0,,0,*,2,7,14,10,3,*,,0,,0,36,,13743,WASHINGTON NAT'L,DC
193701-202012,*,,0,,*,1,6,12,17,15,6,1,,*,,0,59,,12834,DAYTONA BEACH,FL
189201-202012,0,,*,,*,3,13,18,22,23,17,5,,*,,*,100,,12835,FORT MYERS,FL
196006-202012,0,,*,,*,2,11,18,22,21,11,1,,*,,0,86,,12816,GAINESVILLE,FL
193804-202012,0,,0,,*,1,8,17,24,21,10,1,,0,,0,82,,13889,JACKSONVILLE,FL
194801-202012,0,,0,,0,*,1,7,16,18,8,1,,0,,0,50,,12836,KEY WEST,FL
194801-202012,0,,0,,*,2,4,12,18,19,12,3,,*,,0,70,,12839,MIAMI,FL
195206-202012,0,,0,,1,3,11,18,23,23,16,4,,*,,*,99,,12815,ORLANDO,FL
194807-202012,0,,0,,*,*,3,14,19,18,9,1,,0,,0,64,,13899,PENSACOLA,FL
194003-202012,0,,0,,*,1,10,19,23,22,14,2,,0,,0,92,,93805,TALLAHASSEE,FL
193902-202012,0,,0,,*,1,9,17,20,22,16,3,,*,,0,88,,12842,TAMPA,FL
194211-202012,0,,*,,*,1,4,11,17,18,8,2,,*,,0,62,,12843,VERO BEACH,FL
193807-202012,0,,*,,1,2,4,12,20,22,12,2,,*,,*,75,,12844,WEST PALM BEACH,FL
194406-202012,0,,0,,0,*,3,12,18,15,6,*,,0,,0,56,,13873,ATHENS,GA
193001-202012,0,,0,,0,*,2,11,15,12,5,*,,0,,0,44,,13874,ATLANTA,GA
194404-202012,0,,0,,*,1,7,17,23,21,10,1,,*,,0,80,,03820,AUGUSTA,GA
194801-202012,0,,0,,0,*,6,17,22,21,11,1,,0,,0,78,,93842,COLUMBUS,GA
194812-202012,0,,0,,*,1,8,18,24,22,11,1,,0,,0,86,,03813,MACON,GA
194801-202012,0,,0,,*,1,6,15,22,19,8,1,,0,,0,73,,03822,SAVANNAH,GA
194910-202012,*,,*,,*,0,*,*,*,*,*,*,,*,,*,1,,21504,HILO,HI
194006-202012,0,,0,,0,*,*,1,4,9,7,3,,*,,0,25,,22521,HONOLULU,HI
195404-202012,*,,*,,*,*,1,2,4,6,7,5,,1,,*,28,,22516,KAHULUI,HI
195002-202012,0,,0,,0,0,0,0,0,*,*,*,,0,,0,0,,22536,LIHUE,HI
194001-202012,0,,0,,0,*,1,6,20,17,4,*,,0,,0,48,,24131,BOISE,ID
194801-202012,0,,0,,0,*,1,4,17,15,4,0,,0,,0,42,,24149,LEWISTON,ID
193901-202012,0,,0,,0,0,*,4,16,13,2,*,,0,,0,35,,24156,POCATELLO,ID
195811-202012,0,,0,,0,*,1,4,7,4,2,*,,0,,0,17,,94846,CHICAGO,IL
194306-202012,0,,0,,0,*,1,5,8,6,2,*,,0,,0,23,,14923,MOLINE,IL
194305-202012,0,,0,,0,*,1,5,8,6,2,*,,0,,0,23,,14842,PEORIA,IL
195101-202012,0,,0,,0,*,1,4,6,4,2,*,,0,,0,15,,94822,ROCKFORD,IL
190101-202012,0,,0,,*,*,2,7,12,8,4,*,,0,,0,33,,93822,SPRINGFIELD,IL
194801-202012,0,,0,,0,*,2,9,15,11,5,*,,0,,0,42,,93817,EVANSVILLE,IN
193908-202012,0,,0,,0,0,1,4,6,4,2,*,,0,,0,16,,14827,FORT WAYNE,IN
194801-202012,0,,0,,0,0,*,4,7,5,2,*,,0,,0,19,,93819,INDIANAPOLIS,IN
189312-202012,0,,0,,0,*,1,4,7,4,2,*,,0,,0,17,,14848,SOUTH BEND,IN
194507-202012,0,,0,,*,*,1,5,9,7,2,*,,0,,0,24,,14933,DES MOINES,IA
195102-202012,0,,0,,0,*,*,1,3,2,1,*,,0,,0,8,,94908,DUBUQUE,IA
194801-202012,0,,0,,*,*,2,6,10,6,2,*,,0,,0,27,,14943,SIOUX CITY,IA
195003-202012,0,,0,,0,*,1,4,6,4,2,*,,0,,0,16,,94910,WATERLOO,IA
188505-202012,0,,0,,*,*,2,9,17,14,6,1,,0,,0,50,,13984,CONCORDIA,KS
194801-202012,0,,0,,*,1,4,14,21,19,8,1,,*,,0,67,,13985,DODGE CITY,KS
189507-202012,0,,0,,*,*,2,10,19,16,7,1,,0,,0,54,,23065,GOODLAND,KS
194608-202012,0,,0,,0,*,2,9,16,14,6,1,,0,,0,47,,13996,TOPEKA,KS
195312-202012,0,,0,,0,*,2,13,21,19,8,1,,0,,0,65,,03928,WICHITA,KS
198101-202012,0,,0,,0,*,*,2,6,4,2,*,,0,,0,14,,03889,JACKSON,KY
