POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
193001-202012,15,10,5,1,0,0,0,0,0,*,6,13,50,13876,BIRMINGHAM,AL
195809-202012,18,13,6,1,0,0,0,0,0,1,7,15,61,03856,HUNTSVILLE,AL
194801-202012,8,4,1,*,0,0,0,0,0,*,2,6,21,13894,MOBILE,AL
194801-202012,13,7,2,*,0,0,0,0,0,*,4,10,38,13895,MONTGOMERY,AL
195204-202012,30,27,29,21,3,0,0,*,3,19,28,30,191,26451,ANCHORAGE,AK
194102-201909,16,14,13,4,*,0,0,0,*,1,9,15,72,25308,ANNETTE,AK
190109-202012,31,28,31,30,31,23,13,14,24,31,30,31,314,27502,BARROW,AK
192308-202012,30,28,31,28,15,1,*,*,6,24,29,30,222,26615,BETHEL,AK
195105-202012,31,28,31,29,13,*,*,2,14,30,30,31,240,26533,BETTLES,AK
191905-202012,31,28,30,26,7,*,*,1,10,27,30,31,221,26415,BIG DELTA,AK
195003-202012,24,22,25,20,8,*,0,*,1,9,18,23,151,25624,COLD BAY,AK
192912-202012,31,28,31,27,7,*,0,1,10,29,30,31,225,26411,FAIRBANKS,AK
190705-202012,31,28,31,28,15,1,*,3,14,27,29,31,239,26425,GULKANA,AK
193209-202012,27,25,27,21,8,*,0,*,3,17,25,27,181,25507,HOMER,AK
193611-202012,24,22,23,14,3,*,0,*,1,8,18,23,136,25309,JUNEAU,AK
194202-202012,28,25,28,25,11,1,*,*,6,21,26,28,198,25503,KING SALMON,AK
194901-202012,22,20,22,14,3,*,0,0,1,11,18,22,132,25501,KODIAK,AK
189710-202012,31,28,31,29,24,6,*,*,7,27,30,31,244,26616,KOTZEBUE,AK
194106-202012,31,28,31,28,10,*,*,1,10,27,30,31,226,26510,MCGRATH,AK
190009-202012,31,28,31,29,20,4,*,1,10,25,29,31,239,26617,NOME,AK
194901-202008,26,26,29,26,17,3,*,*,2,12,19,24,184,25713,ST. PAUL ISLAND,AK
191807-202012,31,28,30,27,13,1,*,1,8,24,29,30,222,26528,TALKEETNA,AK
191705-201402,30,27,30,21,6,*,0,*,3,15,28,30,191,26442,VALDEZ,AK
191704-202012,25,23,25,19,7,*,0,*,3,11,20,24,158,25339,YAKUTAT,AK
189311-202012,30,27,29,23,12,2,*,*,2,18,28,30,203,03103,FLAGSTAFF,AZ
193306-202012,3,2,*,0,0,0,0,0,0,0,1,2,8,23183,PHOENIX,AZ
194606-202012,5,3,1,0,0,0,0,0,0,*,1,5,16,23160,TUCSON,AZ
189810-202012,28,23,19,8,1,*,0,0,*,6,22,28,136,23194,WINSLOW,AZ
194510-202012,22,15,7,1,0,0,0,0,0,1,8,18,71,13964,FORT SMITH,AR
193804-202012,18,12,4,*,0,0,0,0,0,*,5,14,54,13963,LITTLE ROCK,AR
193710-202012,5,1,*,0,0,0,0,0,0,*,1,5,13,23155,BAKERSFIELD,CA
189502-202012,29,24,20,8,1,*,0,0,*,8,24,29,143,23157,BISHOP,CA
194312-202012,16,16,16,11,4,*,0,0,*,2,9,15,90,23225,BLUE CANYON,CA
194801-202012,7,3,1,*,0,0,0,0,0,*,1,7,19,93193,FRESNO,CA
194901-202012,*,0,0,0,0,0,0,0,0,0,0,*,0,23129,LONG BEACH,CA
190604-202012,*,*,0,0,0,0,0,0,0,0,0,*,0,93134,LOS ANGELES,CA
198609-202012,9,4,2,*,0,0,0,0,0,*,3,11,29,24257,REDDING,CA
194112-202012,7,2,*,*,0,0,0,0,0,0,1,7,18,23232,SACRAMENTO,CA
193907-202012,*,0,0,0,0,0,0,0,0,0,0,0,0,23188,SAN DIEGO,CA
192101-202012,*,*,0,0,0,0,0,0,0,0,0,*,0,23272,SAN FRANCISCO,CA
194102-202012,3,1,*,0,0,0,0,0,0,*,*,2,6,23190,SANTA BARBARA,CA
194801-202012,5,3,1,*,*,0,0,0,0,*,1,5,15,23273,SANTA MARIA,CA
194810-202012,8,3,1,*,0,0,0,0,0,0,2,8,22,23237,STOCKTON,CA
194801-202012,31,28,30,27,13,2,*,*,8,26,30,31,227,23061,ALAMOSA,CO
194804-202012,30,27,25,14,2,*,0,0,1,9,24,30,161,93037,COLORADO SPRINGS,CO
194801-202012,30,26,24,12,2,*,0,0,1,8,24,29,156,23062,DENVER,CO
190001-202012,30,25,18,6,*,0,0,0,*,4,22,30,135,23066,GRAND JUNCTION,CO
195407-202012,30,27,24,11,1,0,0,0,*,10,26,30,160,93058,PUEBLO,CO
194807-202012,25,23,17,3,*,0,0,0,0,1,7,21,97,94702,BRIDGEPORT,CT
194901-202012,28,25,22,8,1,0,0,0,*,5,16,26,131,14740,HARTFORD,CT
194801-202012,25,22,15,3,*,0,0,0,0,1,10,21,97,13781,WILMINGTON,DE
196112-202012,25,22,16,5,*,0,0,0,*,4,14,23,109,93738,WASHINGTON DULLES,DC
194507-202012,21,17,9,1,0,0,0,0,0,*,5,15,67,13743,WASHINGTON NAT'L,DC
193701-202012,2,1,*,*,0,0,0,0,0,0,*,1,5,12834,DAYTONA BEACH,FL
189201-202012,*,*,0,0,0,0,0,0,0,0,0,*,1,12835,FORT MYERS,FL
196006-202012,6,3,1,*,0,0,0,0,0,*,1,5,16,12816,GAINESVILLE,FL
193804-202012,6,3,1,*,0,0,0,0,0,0,1,4,15,13889,JACKSONVILLE,FL
194801-202012,0,0,0,0,0,0,0,0,0,0,0,0,0,12836,KEY WEST,FL
194801-202012,*,0,*,0,0,0,0,0,0,0,0,*,0,12839,MIAMI,FL
195206-202012,1,*,*,0,0,0,0,0,0,0,*,1,2,12815,ORLANDO,FL
194807-202012,6,3,1,0,0,0,0,0,0,*,1,4,14,13899,PENSACOLA,FL
194003-202012,9,6,2,*,0,0,0,0,0,*,3,8,29,93805,TALLAHASSEE,FL
193902-202012,1,*,*,0,0,0,0,0,0,0,*,*,2,12842,TAMPA,FL
194211-202012,1,*,*,0,0,0,0,0,0,0,0,*,1,12843,VERO BEACH,FL
193807-202012,*,*,*,0,0,0,0,0,0,0,0,*,0,12844,WEST PALM BEACH,FL
194406-202012,15,11,5,*,0,0,0,0,0,*,5,13,50,13873,ATHENS,GA
193001-202012,14,10,4,*,0,0,0,0,0,*,4,11,43,13874,ATLANTA,GA
194404-202012,15,11,5,1,0,0,0,0,0,1,7,13,51,03820,AUGUSTA,GA
194801-202012,12,8,3,*,0,0,0,0,0,*,4,10,37,93842,COLUMBUS,GA
194812-202012,13,9,4,*,0,0,0,0,0,1,5,11,43,03813,MACON,GA
194801-202012,9,5,2,*,0,0,0,0,0,*,2,7,26,03822,SAVANNAH,GA
194910-202012,0,0,0,0,0,0,0,0,0,0,0,0,0,21504,HILO,HI
194006-202012,0,0,0,0,0,0,0,0,0,0,0,0,0,22521,HONOLULU,HI
195404-202012,0,0,0,0,0,0,0,0,0,0,0,0,0,22516,KAHULUI,HI
195002-202012,0,0,0,0,0,0,0,0,0,0,0,0,0,22536,LIHUE,HI
194001-202012,26,21,15,7,1,*,0,0,*,5,17,25,119,24131,BOISE,ID
194801-202012,20,16,11,3,*,0,0,0,*,3,12,21,86,24149,LEWISTON,ID
193901-202012,29,25,25,15,4,*,0,*,3,14,24,29,166,24156,POCATELLO,ID
