POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
196501-197812,46.0,53.0,57.0,65.0,65.0,67.0,59,62,59,66,55,49.0,58.0,13876,BIRMINGHAM,AL
196501-198312,47.0,55.0,58.0,64.0,63.0,64.0,61,61,59,63,55,49.0,58.0,13895,MONTGOMERY,AL
196501-198312,43.0,46.0,51.0,50.0,51.0,46.0,43,43,41,36,35,33.0,43.0,26451,ANCHORAGE,AK
196501-197912,39.0,35.0,38.0,42.0,44.0,37.0,33,35,27,21,26,21.0,33.0,25309,JUNEAU,AK
196502-198312,38.0,56.0,54.0,52.0,52.0,43.0,39,34,38,35,30,36.0,42.0,26617,NOME,AK
197204-198912,71.0,73.0,72.0,82.0,83.0,88.0,74,75,79,77,72,76.0,76.0,03103,FLAGSTAFF,AZ
196501-198312,79.0,81.0,83.0,90.0,93.0,95.0,86,87,89,88,79,79.0,85.0,23183,PHOENIX,AZ
196501-198312,80.0,82.0,86.0,92.0,94.0,93.0,80,84,87,88,83,79.0,85.0,23160,TUCSON,AZ
196501-198312,52.0,56.0,58.0,60.0,63.0,70.0,75,70,63,63,51,51.0,61.0,13964,FORT SMITH,AR
196501-197712,52.0,63.0,63.0,69.0,78.0,82.0,81,79,73,72,56,52.0,68.0,13963,LITTLE ROCK,AR
196501-198312,44.0,60.0,74.0,83.0,91.0,93.0,96,95,93,86,59,44.0,76.0,93193,FRESNO,CA
196501-197712,69.0,70.0,70.0,78.0,63.0,63.0,82,85,74,74,70,71.0,72.0,93134,LOS ANGELES,CA
196501-198312,45.0,62.0,73.0,82.0,92.0,94.0,97,96,93,84,61,47.0,77.0,23232,SACRAMENTO,CA
196501-198312,74.0,73.0,71.0,72.0,56.0,57.0,70,72,65,70,73,75.0,69.0,23188,SAN DIEGO,CA
196501-197412,58.0,66.0,71.0,77.0,75.0,69.0,70,69,73,71,55,55.0,67.0,23272,SAN FRANCISCO,CA
196501-198312,71.0,73.0,71.0,71.0,64.0,71.0,71,72,74,71,64,65.0,69.0,23062,DENVER,CO
196501-198312,59.0,64.0,63.0,69.0,72.0,80.0,78,78,79,71,60,57.0,69.0,23066,GRAND JUNCTION,CO
196501-198312,75.0,77.0,78.0,82.0,79.0,83.0,81,81,82,79,73,71.0,78.0,93058,PUEBLO,CO
196501-198312,59.0,61.0,56.0,59.0,58.0,61.0,66,63,59,57,47,50.0,58.0,14740,HARTFORD,CT
196501-198312,47.0,53.0,54.0,60.0,61.0,64.0,64,66,62,57,49,45.0,56.0,13743,WASHINGTON NAT'L,DC
196502-198312,58.0,61.0,69.0,74.0,71.0,66.0,65,63,62,60,63,59.0,64.0,13889,JACKSONVILLE,FL
196501-198312,74.0,76.0,84.0,85.0,82.0,77.0,79,78,74,72,71,73.0,77.0,12836,KEY WEST,FL
197703-201712,68.0,68.0,74.0,79.0,73.0,70.0,77,72,69,72,63,66.0,70.0,12839,MIAMI,FL
196501-196912,53.0,56.0,65.0,67.0,64.0,66.0,59,56,58,71,63,47.0,60.0,13899,PENSACOLA,FL
196501-201012,66.0,68.0,75.0,80.0,77.0,70.0,67,65,65,67,66,62.0,69.0,12842,TAMPA,FL
196501-198312,50.0,56.0,59.0,66.0,65.0,66.0,62,62,60,67,61,53.0,60.0,13874,ATLANTA,GA
196501-198312,53.0,59.0,66.0,71.0,69.0,68.0,65,67,62,67,61,56.0,63.0,03813,MACON,GA
196501-198312,54.0,58.0,62.0,70.0,64.0,62.0,59,57,56,62,61,53.0,59.0,03822,SAVANNAH,GA
196501-200612,47.0,45.0,39.0,36.0,40.0,45.0,41,44,47,38,35,37.0,41.0,21504,HILO,HI
196501-198312,59.0,62.0,68.0,63.0,66.0,67.0,71,73,75,67,60,56.0,65.0,22521,HONOLULU,HI
196501-198312,65.0,65.0,65.0,63.0,70.0,74.0,72,72,76,70,66,65.0,68.0,22516,KAHULUI,HI
196501-201012,52.0,54.0,55.0,57.0,62.0,62.0,61,65,63,56,47,46.0,56.0,22536,LIHUE,HI
196501-198312,32.0,49.0,66.0,68.0,74.0,76.0,85,82,80,69,41,34.0,63.0,24131,BOISE,ID
