POR,M,A,M.1,A.1,M.2,A.2,M.3,A.3,M.4,A.4,M.5,A.5,M.6,A.6,M.7,A.7,M.8,A.8,M.9,A.9,M.10,A.10,M.11,A.11,M.12,A.12,ID,CITY,STATE
194801-201812,81.0,60.0,80.0,56.0,80.0,52.0,83.0,50.0,85.0,53.0,85.0,56.0,87.0,58.0,88.0,57.0,87.0,56.0,86.0,52.0,83.0,55.0,82.0,60.0,84.0,55.0,13876,BIRMINGHAM,AL
195809-201812,81.0,64.0,81.0,60.0,80.0,55.0,82.0,51.0,85.0,54.0,87.0,55.0,89.0,59.0,90.0,57.0,89.0,56.0,87.0,52.0,84.0,57.0,82.0,63.0,85.0,57.0,03856,HUNTSVILLE,AL
194801-201812,83.0,60.0,84.0,58.0,85.0,54.0,88.0,53.0,88.0,54.0,88.0,57.0,90.0,61.0,91.0,60.0,90.0,59.0,87.0,53.0,85.0,56.0,85.0,61.0,87.0,57.0,13894,MOBILE,AL
194801-201812,83.0,59.0,82.0,56.0,83.0,52.0,87.0,51.0,87.0,53.0,88.0,55.0,90.0,58.0,91.0,56.0,90.0,55.0,89.0,51.0,87.0,53.0,84.0,59.0,87.0,55.0,13895,MONTGOMERY,AL
195311-201812,75.0,74.0,75.0,69.0,70.0,57.0,68.0,54.0,64.0,50.0,69.0,57.0,75.0,63.0,79.0,65.0,81.0,65.0,79.0,67.0,78.0,74.0,78.0,77.0,74.0,64.0,26451,ANCHORAGE,AK
194807-201712,82.0,77.0,81.0,73.0,79.0,69.0,77.0,67.0,76.0,65.0,79.0,68.0,82.0,71.0,84.0,73.0,87.0,75.0,85.0,78.0,83.0,78.0,83.0,80.0,82.0,73.0,25308,ANNETTE,AK
194807-201812,73.0,73.0,72.0,72.0,72.0,72.0,79.0,77.0,88.0,84.0,89.0,85.0,89.0,84.0,92.0,86.0,91.0,87.0,86.0,85.0,80.0,80.0,74.0,74.0,82.0,80.0,27502,BARROW,AK
194807-201812,79.0,78.0,78.0,75.0,81.0,75.0,84.0,72.0,81.0,62.0,82.0,61.0,88.0,69.0,92.0,74.0,92.0,71.0,89.0,77.0,84.0,82.0,80.0,79.0,84.0,73.0,26615,BETHEL,AK
194501-201812,72.0,70.0,71.0,66.0,69.0,59.0,66.0,57.0,63.0,49.0,62.0,47.0,72.0,55.0,81.0,61.0,81.0,63.0,81.0,73.0,76.0,74.0,73.0,73.0,72.0,62.0,26533,BETTLES,AK
194807-201812,68.0,67.0,70.0,63.0,67.0,53.0,59.0,44.0,53.0,38.0,61.0,45.0,69.0,52.0,73.0,53.0,75.0,56.0,79.0,69.0,74.0,72.0,71.0,71.0,68.0,57.0,26415,BIG DELTA,AK
195507-201812,86.0,83.0,86.0,82.0,85.0,78.0,86.0,77.0,86.0,76.0,88.0,78.0,92.0,82.0,92.0,83.0,89.0,79.0,85.0,77.0,85.0,81.0,85.0,83.0,87.0,80.0,25624,COLD BAY,AK
194807-201812,73.0,73.0,72.0,67.0,70.0,53.0,62.0,45.0,54.0,37.0,62.0,44.0,71.0,51.0,79.0,56.0,80.0,56.0,81.0,68.0,77.0,75.0,74.0,75.0,72.0,58.0,26411,FAIRBANKS,AK
194807-201812,75.0,74.0,75.0,69.0,71.0,53.0,65.0,46.0,59.0,40.0,62.0,43.0,71.0,50.0,76.0,52.0,79.0,54.0,82.0,67.0,79.0,78.0,77.0,77.0,73.0,59.0,26425,GULKANA,AK
194807-201812,80.0,76.0,79.0,71.0,76.0,66.0,75.0,64.0,72.0,64.0,75.0,67.0,80.0,72.0,83.0,72.0,84.0,70.0,82.0,69.0,79.0,74.0,80.0,77.0,79.0,70.0,25507,HOMER,AK
194807-201812,84.0,80.0,85.0,76.0,82.0,67.0,80.0,63.0,78.0,61.0,80.0,65.0,84.0,72.0,87.0,74.0,91.0,79.0,90.0,80.0,87.0,82.0,86.0,84.0,84.0,74.0,25309,JUNEAU,AK
194901-201812,80.0,77.0,79.0,72.0,79.0,66.0,78.0,61.0,75.0,56.0,79.0,59.0,85.0,65.0,88.0,68.0,88.0,67.0,86.0,69.0,84.0,78.0,80.0,78.0,82.0,68.0,25503,KING SALMON,AK
194511-201812,80.0,76.0,80.0,74.0,77.0,68.0,75.0,69.0,77.0,72.0,80.0,76.0,83.0,77.0,82.0,74.0,82.0,73.0,80.0,69.0,78.0,72.0,78.0,75.0,79.0,73.0,25501,KODIAK,AK
194501-201812,74.0,74.0,75.0,74.0,75.0,72.0,79.0,76.0,83.0,79.0,83.0,78.0,83.0,77.0,85.0,77.0,83.0,73.0,83.0,77.0,78.0,78.0,76.0,76.0,80.0,76.0,26616,KOTZEBUE,AK
194807-201812,75.0,73.0,75.0,66.0,74.0,53.0,70.0,49.0,65.0,44.0,68.0,48.0,77.0,57.0,85.0,62.0,86.0,62.0,84.0,71.0,80.0,76.0,77.0,76.0,76.0,61.0,26510,MCGRATH,AK
