POR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
193001-202012,0.8,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,13876,BIRMINGHAM,AL
195809-202012,1.3,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,3.5,03856,HUNTSVILLE,AL
194801-202012,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,13894,MOBILE,AL
194801-202012,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13895,MONTGOMERY,AL
195302-202010,10.7,12.4,9.9,5.0,0.2,0.0,0.0,0.0,0.3,6.8,11.7,16.1,73.1,26451,ANCHORAGE,AK
194101-201711,10.5,9.3,8.1,1.8,0.1,0.0,0.0,0.0,0.0,0.1,3.4,9.8,43.1,25308,ANNETTE,AK
190201-201910,2.7,2.8,2.2,2.8,2.3,0.6,0.5,0.7,3.7,7.7,4.9,3.3,34.2,27502,BARROW,AK
192309-201811,7.9,7.2,8.4,5.0,1.6,0.1,0.0,0.0,0.3,3.7,8.8,10.1,53.1,26615,BETHEL,AK
195105-202011,12.3,12.1,9.5,6.4,1.1,0.0,0.0,0.0,2.3,12.0,15.0,16.2,86.9,26533,BETTLES,AK
191706-199711,5.6,5.2,4.2,2.8,0.6,0.4,0.0,0.0,1.6,9.2,8.4,5.8,43.8,26415,BIG DELTA,AK
195003-201903,12.2,11.2,11.5,6.3,1.5,0.0,0.0,0.0,0.0,2.8,7.8,11.9,65.2,25624,COLD BAY,AK
192912-202012,10.9,8.8,6.6,3.3,0.6,0.0,0.0,T,1.3,9.7,12.2,11.4,64.8,26411,FAIRBANKS,AK
190903-200107,7.7,7.2,5.1,2.8,0.6,0.0,0.0,0.1,1.1,7.8,8.7,10.0,51.1,26425,GULKANA,AK
193209-199711,9.5,11.3,9.2,2.8,0.3,0.0,0.0,0.0,0.0,2.1,7.4,12.1,54.7,25507,HOMER,AK
193611-202012,25.3,18.2,13.6,2.4,0.0,0.0,0.0,0.0,0.0,1.0,12.5,20.6,93.6,25309,JUNEAU,AK
194202-201910,7.9,6.8,7.6,4.5,0.8,0.0,0.0,0.0,0.0,3.0,6.4,9.2,46.2,25503,KING SALMON,AK
194901-201811,15.0,15.6,14.2,7.1,0.5,0.0,0.0,0.0,0.0,1.7,6.2,13.6,73.9,25501,KODIAK,AK
192905-201910,7.5,8.2,6.0,5.1,1.3,0.1,0.0,0.0,1.0,6.0,8.9,8.9,53.0,26616,KOTZEBUE,AK
193907-201910,14.2,12.4,11.0,6.0,0.7,T,0.0,0.0,1.0,9.1,16.8,18.2,89.4,26510,MCGRATH,AK
190610-201910,10.7,9.7,8.9,6.7,2.0,0.2,0.0,0.0,0.4,4.8,10.5,11.0,64.9,26617,NOME,AK
194901-201802,12.6,10.4,10.0,6.0,1.8,0.1,0.0,0.0,0.0,2.4,7.1,10.1,60.5,25713,ST. PAUL ISLAND,AK
191808-199712,20.0,20.1,19.5,8.6,0.8,0.0,0.0,0.0,0.6,10.7,18.2,22.4,120.9,26528,TALKEETNA,AK
191706-201402,59.2,53.0,42.2,17.6,2.2,0.0,0.0,0.0,0.3,8.8,35.3,60.8,279.4,26442,VALDEZ,AK
191704-201811,32.4,31.3,31.7,11.9,0.9,0.0,0.0,0.0,0.0,3.8,18.8,31.3,162.1,25339,YAKUTAT,AK
189301-202012,20.1,16.6,17.0,6.9,1.6,0.0,0.0,0.0,0.1,1.6,8.5,15.2,87.6,03103,FLAGSTAFF,AZ
193307-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23183,PHOENIX,AZ
194606-202008,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.0,23160,TUCSON,AZ
189810-201006,2.6,1.8,1.7,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.9,3.5,11.2,23194,WINSLOW,AZ
194510-202012,2.2,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,5.2,13964,FORT SMITH,AR
193804-202012,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,4.7,13963,LITTLE ROCK,AR
193710-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23155,BAKERSFIELD,CA
194309-202012,3.7,1.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2,7.1,23157,BISHOP,CA
194003-199511,46.7,43.5,50.6,27.0,7.8,0.6,0.0,0.0,0.4,2.7,23.6,38.8,241.7,23225,BLUE CANYON,CA
194801-202012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93193,FRESNO,CA
194901-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23129,LONG BEACH,CA
191306-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93134,LOS ANGELES,CA
198609-202011,1.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.4,24257,REDDING,CA
194112-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23232,SACRAMENTO,CA
193907-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23188,SAN DIEGO,CA
192101-202002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23272,SAN FRANCISCO,CA
194101-202010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23190,SANTA BARBARA,CA
194801-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23273,SANTA MARIA,CA
194810-202011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23237,STOCKTON,CA
194801-202012,4.7,4.3,5.3,4.0,1.4,0.0,0.0,0.0,0.2,2.7,4.0,5.3,31.9,23061,ALAMOSA,CO
194804-202012,5.0,5.1,8.0,6.0,1.1,0.0,0.0,0.0,0.8,3.0,4.6,5.2,38.8,93037,COLORADO SPRINGS,CO
194801-202012,7.4,7.7,11.7,7.9,1.6,0.0,0.0,0.0,1.3,4.0,8.1,7.5,57.2,23062,DENVER,CO
