YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,6.9,7.4,7.6,7.2,6.1,5.4,5.2,4.8,5.3,5.5,6.0,6.5,6.2,13876,BIRMINGHAM,AL
198401-202012,8.3,8.7,8.9,8.4,7.3,6.1,5.2,5.1,6.0,6.5,7.3,7.9,7.1,03856,HUNTSVILLE,AL
198401-202012,8.5,8.9,8.9,8.5,7.4,6.4,5.7,5.6,6.6,7.0,7.6,8.1,7.4,13894,MOBILE,AL
198401-202012,7.0,7.3,7.2,6.5,5.5,5.0,4.8,4.6,5.4,5.4,5.8,6.5,5.9,13895,MONTGOMERY,AL
198401-202012,6.3,6.4,7.0,7.1,8.2,8.0,7.1,6.6,6.8,6.5,6.5,6.3,6.9,26451,ANCHORAGE,AK
198401-201909,9.0,8.5,8.7,8.2,7.3,7.2,6.4,6.5,6.9,8.2,8.9,9.0,7.9,25308,ANNETTE,AK
198401-202012,12.7,12.9,11.8,12.0,12.4,12.0,12.2,12.3,12.9,13.9,13.3,13.1,12.6,27502,BARROW,AK
198401-202012,14.1,13.8,12.8,11.6,10.6,9.7,9.6,10.3,10.5,11.4,12.3,12.9,11.6,26615,BETHEL,AK
198401-202012,4.6,5.0,5.7,6.4,6.3,5.7,5.4,5.0,5.3,5.2,4.8,4.7,5.3,26533,BETTLES,AK
198401-202012,12.0,11.3,9.7,8.8,8.7,7.6,6.8,7.0,8.5,9.2,10.6,12.5,9.4,26415,BIG DELTA,AK
198401-202012,16.4,17.4,16.4,16.0,15.5,14.9,14.6,15.0,15.8,16.1,17.1,17.2,16.0,25624,COLD BAY,AK
198401-202012,2.4,3.0,4.6,5.8,6.3,5.8,5.3,5.0,4.8,4.0,2.8,2.3,4.3,26411,FAIRBANKS,AK
198401-202012,3.0,4.0,5.7,6.9,7.9,7.5,7.0,7.0,7.0,5.0,3.5,3.3,5.7,26425,GULKANA,AK
198401-202012,7.0,7.0,7.2,7.4,7.4,7.2,6.5,6.2,6.5,6.6,6.9,7.3,6.9,25507,HOMER,AK
198401-202012,7.3,7.4,7.7,7.7,7.5,6.8,6.6,6.9,7.6,8.2,7.6,7.9,7.4,25309,JUNEAU,AK
198401-202012,10.1,10.5,10.2,10.1,9.9,9.1,8.6,8.8,9.4,9.4,9.6,9.7,9.6,25503,KING SALMON,AK
198401-202012,12.0,11.9,12.2,11.6,10.4,9.3,7.9,8.5,9.6,10.9,12.0,12.4,10.7,25501,KODIAK,AK
198401-202012,12.0,12.8,10.7,10.6,10.1,10.7,11.4,11.9,12.2,13.0,13.3,12.6,11.8,26616,KOTZEBUE,AK
198401-202012,2.9,3.7,4.9,5.7,6.0,5.3,4.9,4.8,4.9,4.5,3.4,2.8,4.5,26510,MCGRATH,AK
198401-202012,9.2,10.3,8.7,8.8,8.9,8.9,9.0,9.5,10.0,9.5,10.4,10.2,9.4,26617,NOME,AK
198401-202009,18.5,18.6,17.0,15.9,13.8,12.3,11.3,12.3,14.6,16.3,17.8,17.8,15.5,25713,ST. PAUL ISLAND,AK
198401-202012,5.2,5.0,5.2,4.4,4.6,4.6,4.1,3.4,3.3,3.7,4.8,4.9,4.4,26528,TALKEETNA,AK
