ID,CITY,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
13876,BIRMINGHAM AP,AL,4.84,4.53,5.23,4.38,4.99,4.38,4.8,3.93,3.9,3.44,4.85,4.45,53.72
3856,HUNTSVILLE,AL,4.89,4.84,5.21,4.32,5.11,4.29,4.05,3.61,3.72,3.59,4.94,5.77,54.34
13838,MOBILE,AL,5.67,4.81,6.43,4.57,5.3,6.37,6.46,6.13,5.31,4.11,5.0,5.12,65.28
13895,MONTGOMERY,AL,4.65,5.28,5.95,4.02,3.54,4.07,5.24,3.96,3.97,2.92,4.61,4.86,53.07
26451,ANCHORAGE,AK,0.73,0.72,0.6,0.47,0.72,0.97,1.83,3.25,2.99,2.03,1.16,1.11,16.58
25308,ANNETTE,AK,10.73,7.31,8.05,6.77,5.56,4.88,4.65,6.96,9.79,13.92,12.29,10.72,101.63
27502,BARROW,AK,0.13,0.14,0.09,0.16,0.18,0.32,0.98,1.05,0.72,0.41,0.21,0.14,4.53
26615,BETHEL,AK,0.78,0.72,0.71,0.74,1.14,1.72,2.36,3.25,2.75,1.65,1.6,1.12,18.54
26533,BETTLES,AK,0.81,0.85,0.58,0.6,0.88,1.4,2.36,2.64,1.91,1.04,0.91,0.92,14.9
26415,BIG DELTA,AK,0.31,0.28,0.18,0.23,0.9,2.31,2.68,1.89,1.03,0.8,0.63,0.38,11.62
25624,COLD BAY,AK,3.16,2.98,2.7,2.42,2.6,2.72,2.48,3.68,4.73,4.76,4.98,4.46,41.67
26411,FAIRBANKS,AK,0.58,0.42,0.25,0.31,0.6,1.37,2.16,1.88,1.1,0.83,0.67,0.64,10.81
26425,GULKANA,AK,0.46,0.51,0.3,0.24,0.65,1.4,1.81,1.8,1.58,1.01,0.72,0.78,11.26
25507,HOMER,AK,2.63,1.71,1.65,1.07,0.82,0.82,1.55,2.34,3.31,2.57,2.79,3.08,24.34
25309,JUNEAU,AK,5.35,4.13,3.78,2.94,3.4,3.24,4.6,5.73,8.64,8.63,5.99,5.84,62.27
25503,KING SALMON,AK,1.02,0.76,0.7,0.97,1.25,1.65,2.3,2.95,3.19,2.08,1.39,1.23,19.49
25501,KODIAK,AK,8.29,6.14,5.53,5.81,5.62,5.91,4.93,4.56,7.35,8.26,6.87,8.73,78.0
26616,KOTZEBUE,AK,0.62,0.66,0.44,0.54,0.41,0.58,1.45,2.18,1.58,1.01,0.77,0.76,11.0
26510,MCGRATH,AK,1.09,0.94,0.81,0.74,1.09,1.52,2.38,2.8,2.49,1.44,1.41,1.29,18.0
26617,NOME,AK,0.94,0.93,0.65,0.76,0.86,0.98,2.11,3.22,2.45,1.61,1.22,1.08,16.81
25713,ST. PAUL ISLAND,AK,1.58,1.3,1.07,1.08,1.13,1.35,1.85,3.07,2.99,3.11,2.89,2.25,23.67
26528,TALKEETNA,AK,1.36,1.45,1.05,1.29,1.62,1.92,3.39,5.11,4.32,2.9,1.63,1.93,27.97
26479,VALDEZ,AK,6.64,4.79,4.4,4.02,3.11,2.9,3.24,6.05,9.57,8.39,7.55,10.41,71.07
25339,YAKUTAT,AK,13.66,10.86,11.04,9.19,8.21,6.39,7.88,14.07,21.11,21.98,14.45,16.28,155.12
3103,FLAGSTAFF,AZ,2.05,2.16,2.12,1.15,0.63,0.36,2.61,3.11,2.38,1.66,1.76,1.87,21.86
23183,PHOENIX,AZ,0.91,0.92,0.99,0.28,0.11,0.02,1.05,1.0,0.64,0.58,0.65,0.88,8.03
53131,TUCSON,AZ,1.29,1.16,0.84,0.43,0.42,0.55,2.13,3.02,1.64,1.09,0.99,1.34,14.9
23194,WINSLOW,AZ,0.52,0.46,0.54,0.26,0.33,0.18,1.04,1.2,0.88,0.53,0.51,0.56,7.01
53154,YUMA,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13964,FORT SMITH,AR,2.81,2.76,3.85,4.3,5.47,4.28,3.3,2.59,4.05,4.32,4.44,3.29,45.46
13963,LITTLE ROCK,AR,3.55,3.66,4.68,5.14,4.87,3.65,3.27,2.59,3.18,4.91,5.28,4.97,49.75
3952,NORTH LITTLE ROCK,AR,3.42,3.66,4.77,4.79,4.96,3.31,3.81,2.8,3.31,4.8,5.39,5.01,50.03
23155,BAKERSFIELD,CA,1.16,1.24,1.21,0.52,0.18,0.08,0.0,0.04,0.08,0.3,0.64,1.02,6.47
23157,BISHOP,CA,1.05,0.85,0.53,0.26,0.19,0.19,0.17,0.13,0.19,0.3,0.52,0.8,5.18
24213,EUREKA,CA.,6.5,5.63,5.3,3.32,1.78,0.75,0.18,0.31,0.59,2.24,5.61,8.12,40.33
93193,FRESNO,CA,2.19,2.03,2.03,0.95,0.43,0.21,0.01,0.01,0.17,0.63,1.07,1.77,11.5
23129,LONG BEACH,CA,2.6,3.09,1.87,0.6,0.21,0.07,0.03,0.03,0.18,0.63,1.0,1.95,12.26
23174,LOS ANGELES AP,CA,2.71,3.25,1.85,0.7,0.22,0.08,0.03,0.05,0.21,0.56,1.11,2.05,12.82
93134,LOS ANGELES C.O.,CA,3.12,3.8,2.43,0.91,0.26,0.09,0.01,0.04,0.24,0.66,1.04,2.33,14.93
