RegionName,2024-08-31,2024-10-31,2025-07-31
"NEW YORK, NY",-0.3,-1.4,-1.3
"LOS ANGELES, CA",-0.5,-2.1,0.6
"CHICAGO, IL",-0.4,-1.9,-1.2
"DALLAS, TX",-0.7,-2.6,0.0
"HOUSTON, TX",-0.6,-2.3,-0.9
"WASHINGTON, DC",-0.8,-2.7,-2.0
"PHILADELPHIA, PA",-0.2,-1.3,0.5
"MIAMI, FL",-0.4,-1.0,2.2
"ATLANTA, GA",-0.6,-1.8,1.3
"BOSTON, MA",-0.6,-2.5,-0.4
"PHOENIX, AZ",-0.6,-1.8,1.3
"SAN FRANCISCO, CA",-1.6,-4.2,-3.5
"RIVERSIDE, CA",-0.4,-1.7,1.2
"DETROIT, MI",-0.4,-2.1,-0.8
"SEATTLE, WA",-1.3,-3.5,-0.3
"MINNEAPOLIS, MN",-0.7,-2.9,-2.4
"SAN DIEGO, CA",-1.0,-2.7,0.7
"TAMPA, FL",-0.6,-1.7,1.7
"DENVER, CO",-1.0,-3.2,-1.2
"BALTIMORE, MD",-0.5,-2.2,-1.9
"ST. LOUIS, MO",-0.6,-2.4,-0.5
"ORLANDO, FL",-0.5,-1.6,0.9
"CHARLOTTE, NC",-0.3,-1.4,2.0
"SAN ANTONIO, TX",-0.7,-2.5,-1.4
"PORTLAND, OR",-0.8,-2.8,-1.6
"SACRAMENTO, CA",-0.9,-3.0,-2.0
"PITTSBURGH, PA",-0.5,-2.2,-1.4
"CINCINNATI, OH",-0.4,-1.9,0.7
"AUSTIN, TX",-1.9,-5.2,-2.1
"LAS VEGAS, NV",-0.3,-1.7,0.0
"KANSAS CITY, MO",-0.6,-2.5,0.3
"COLUMBUS, OH",-0.4,-1.8,1.1
"INDIANAPOLIS, IN",-0.2,-1.2,1.4
"CLEVELAND, OH",-0.1,-1.6,0.8
"SAN JOSE, CA",-1.8,-4.8,-0.4
"NASHVILLE, TN",-0.6,-1.7,0.6
"VIRGINIA BEACH, VA",-0.4,-1.8,0.0
"PROVIDENCE, RI",-0.2,-1.3,1.7
"JACKSONVILLE, FL",-0.6,-1.7,0.5
"MILWAUKEE, WI",-0.6,-2.6,-0.2
"OKLAHOMA CITY, OK",-0.3,-1.5,0.3
"RALEIGH, NC",-0.7,-2.2,0.8
"MEMPHIS, TN",-0.4,-1.3,0.6
"RICHMOND, VA",-0.5,-2.1,0.6
"LOUISVILLE, KY",-0.3,-1.7,-0.5
"NEW ORLEANS, LA",-0.8,-2.8,-5.8
"SALT LAKE CITY, UT",-0.7,-2.3,0.6
"HARTFORD, CT",-0.1,-1.0,2.0
"BUFFALO, NY",0.0,-1.4,1.1
"BIRMINGHAM, AL",-0.3,-1.6,-0.3
"ROCHESTER, NY",-0.2,-2.3,1.9
"GRAND RAPIDS, MI",-0.6,-2.4,0.7
"TUCSON, AZ",-0.4,-1.3,1.1
"URBAN HONOLULU, HI",-0.9,-2.5,-2.5
"TULSA, OK",-0.2,-1.2,1.1
"FRESNO, CA",-0.3,-1.5,0.2
"WORCESTER, MA",-0.2,-1.5,1.6
"OMAHA, NE",-0.5,-2.5,0.3
"BRIDGEPORT, CT",-0.2,-1.3,1.2
"GREENVILLE, SC",-0.3,-1.2,1.3
"ALBUQUERQUE, NM",-0.1,-1.0,2.4
"BAKERSFIELD, CA",-0.1,-1.0,1.5
"ALBANY, NY",0.1,-0.8,0.1
"KNOXVILLE, TN",-0.1,-0.6,4.4
"BATON ROUGE, LA",-0.4,-1.8,-3.0
"MCALLEN, TX",-0.1,-0.9,3.1
"NEW HAVEN, CT",-0.1,-1.0,2.6
"EL PASO, TX",-0.1,-0.8,1.9
"ALLENTOWN, PA",-0.1,-1.1,1.6
"OXNARD, CA",-0.7,-1.8,-0.6
"COLUMBIA, SC",-0.2,-1.1,1.3
"NORTH PORT, FL",-1.1,-2.6,0.9
"CHARLESTON, SC",-0.3,-1.3,1.6
"GREENSBORO, NC",-0.2,-1.1,1.6
"STOCKTON, CA",-0.9,-2.8,-1.6
"CAPE CORAL, FL",-1.1,-2.5,1.0
"BOISE CITY, ID",-0.7,-2.0,1.3
"COLORADO SPRINGS, CO",-0.9,-3.0,-1.0
"LITTLE ROCK, AR",-0.4,-1.7,-1.0
"LAKELAND, FL",-0.5,-1.5,1.1
"AKRON, OH",-0.2,-1.7,0.3
"DES MOINES, IA",-0.5,-1.9,-1.5
"SPRINGFIELD, MA",-0.3,-1.9,0.5
"OGDEN, UT",-0.6,-2.1,1.0
"MADISON, WI",-0.6,-2.6,0.2
"WINSTON, NC",-0.2,-1.2,2.3
"DELTONA, FL",-0.6,-1.8,0.7
"SYRACUSE, NY",0.4,-0.4,2.4
"PROVO, UT",-0.6,-2.0,0.2
"TOLEDO, OH",-0.2,-1.6,-0.1
"WICHITA, KS",-0.1,-1.3,1.8
"DURHAM, NC",-0.3,-1.5,1.7
"AUGUSTA, GA",-0.2,-1.1,1.3
"PALM BAY, FL",-0.6,-1.8,0.8
"JACKSON, MS",-0.4,-1.9,-1.9
"HARRISBURG, PA",-0.3,-1.8,0.1
"SPOKANE, WA",-0.7,-2.6,0.9
"SCRANTON, PA",0.0,-0.3,1.3
"CHATTANOOGA, TN",-0.1,-1.0,2.1
"MODESTO, CA",-0.7,-2.2,-0.7
"LANCASTER, PA",-0.4,-1.6,0.5
"PORTLAND, ME",-0.2,-1.5,2.6
"YOUNGSTOWN, OH",-0.1,-1.0,1.7
"LANSING, MI",-0.2,-1.8,0.1
"FAYETTEVILLE, AR",0.1,-0.4,3.0
"FAYETTEVILLE, NC",-0.1,-0.8,3.0
"LEXINGTON, KY",-0.2,-1.4,1.2
"PENSACOLA, FL",-0.2,-0.9,1.9
"SANTA ROSA, CA",-1.1,-3.4,-3.5
"RENO, NV",-0.7,-2.5,-0.9
"HUNTSVILLE, AL",-0.5,-1.5,1.4
"PORT ST. LUCIE, FL",-0.6,-1.6,2.0
"LAFAYETTE, LA",-0.8,-2.9,-5.7
"MYRTLE BEACH, SC",-0.3,-1.0,1.6
"SPRINGFIELD, MO",-0.2,-1.2,2.0
"VISALIA, CA",-0.3,-1.5,0.1
"KILLEEN, TX",-0.5,-1.5,1.0
