ds,yhat,yhat_lower,yhat_upper
2008-04-30,185866.06750517854,175413.2109957143,197183.4978376232
2008-05-31,192833.83077515665,182071.19828168105,203834.06208087123
2008-06-30,197052.05310865346,186265.20972124004,208250.01155363623
2008-07-31,198077.5806690929,188343.45417273694,208682.7812891123
2008-08-31,194491.3130396761,184719.47387920922,204882.21768168572
2008-09-30,187041.00104886445,177296.86392242103,197495.54289542412
2008-10-31,179656.99584139697,169082.7631797994,189845.91765130308
2008-11-30,173859.93124047166,163869.46086102378,184388.04897156387
2008-12-31,173146.91870685134,161559.5905514342,183360.3066563325
2009-01-31,170041.95595167016,159187.72428772063,180411.9064912735
2009-02-28,164373.36568993184,154087.99442474614,174307.15120850303
2009-03-31,166030.61972212643,155253.70573909892,176335.63347484142
2009-04-30,175216.62302363702,164461.0494262382,185607.9449112906
2009-05-31,183051.9788929712,173965.36040089835,193260.6528262839
2009-06-30,188472.2161775945,177686.14752035087,198806.06318915638
2009-07-31,190078.94065089984,179276.21651623806,200126.4068717616
2009-08-31,185829.62314130343,175253.54591582817,196407.6815506845
2009-09-30,177965.97735684182,167480.43212206397,188511.62206704944
2009-10-31,170336.61647950127,159963.1748304388,181569.43896615095
2009-11-30,165380.44910271082,155539.92780993524,175929.61106029944
2009-12-31,163860.46145473057,153259.86678702652,174835.01869140792
2010-01-31,159737.31054520444,149111.592081305,170272.0978891148
2010-02-28,157653.63773176417,147000.08202541192,168219.29256518083
2010-03-31,157653.08059323102,147608.40953359936,168738.67985219526
2010-04-30,164542.57054951353,154081.54534628862,174789.2890663294
2010-05-31,173297.1283630821,163158.16186548123,184246.43683598834
2010-06-30,179923.7018468853,169766.32227210107,190713.94929002383
2010-07-31,182082.74100326037,171916.856186029,193092.57836618146
2010-08-31,177150.22460477217,165940.25991392788,187836.48268733284
2010-09-30,168877.40329205035,158076.09796864598,178740.15135898165
2010-10-31,161018.49821866857,150928.51042815432,169838.8686088334
2010-11-30,156899.2700042803,146632.6731940612,167119.70531562582
2010-12-31,154561.17649695498,144105.69006457741,164700.49852549448
2011-01-31,149465.13959953515,139300.41896666188,159598.27473564836
2011-02-28,150945.39943584797,140811.37786537845,160998.25969162842
2011-03-31,149222.68162196726,138953.75137455398,159643.5834145123
2011-04-30,153845.9775903656,142989.5859572534,164217.92531683133
2011-05-31,163570.6098811622,153023.36059800503,173882.7688881135
2011-06-30,171405.9598009259,160795.6983115308,181981.83492698762
2011-07-31,174087.69285400087,164311.32330041658,184884.96212170235
2011-08-31,168452.6112163058,158450.85426755357,178873.46778093578
2011-09-30,159775.59425898638,148686.0287393652,170047.07041655632
2011-10-31,151703.13855773446,142148.6250075545,163068.4070307135
2011-11-30,148416.21171468895,138920.9567941598,158207.20122874883
2011-12-31,146726.43079537727,135764.34142581504,156420.07094488744
2012-01-31,142179.95789568618,132219.42115721278,151544.85028094432
2012-02-29,139716.13113767965,128487.73716292986,150330.09175310552
2012-03-31,144441.8165899383,134185.0809607768,155349.95547845156
2012-04-30,157380.68307960714,147516.1109792739,167119.42988103282
2012-05-31,165825.07910285544,155142.19888904682,176048.19472912513
2012-06-30,171472.30087500688,161010.0278933256,182253.63530849933
2012-07-31,175237.10225492378,166006.32196608363,185334.11288378673
2012-08-31,174390.10844500473,163284.66392265284,185220.99109810687
2012-09-30,169590.70660209167,159130.64296426362,179775.40232157995
2012-10-31,164945.9752141091,154467.27938456228,175039.64770517912
2012-11-30,161799.82078300245,151548.24347512197,172641.95248941504
2012-12-31,163826.08209152066,153338.3518609107,173878.23790030883
2013-01-31,163460.39316535898,153543.46693103015,173370.95248761727
2013-02-28,160265.98571694692,150655.42783950028,170659.3970166551
2013-03-31,164662.51357814562,154338.86549302557,175129.3720084288
2013-04-30,176499.4270367679,166186.16507028925,186460.9460865351
2013-05-31,187074.05652636642,176793.95862058862,197748.40854376263
2013-06-30,195145.20376608812,185634.4967668442,205335.0300909344
2013-07-31,199491.20184168092,189402.8352372422,209976.10256167696
2013-08-31,197981.15793434877,187901.95386232584,208682.42156782118
2013-09-30,192768.42208757464,182812.4235892459,202810.65459822436
2013-10-31,187878.3348125204,177718.5378591028,198086.4425625379
2013-11-30,185573.07737340606,174995.16769571303,196260.85459061994
2013-12-31,186792.36333289673,176662.62224957527,196506.1963708256
2014-01-31,185408.4860272137,174613.0186864706,195557.5255339425
2014-02-28,185798.99582369087,175057.91523915672,196386.6671237822
2014-03-31,188537.71228900307,177468.80781327898,199038.75118761792
2014-04-30,198078.11218446225,187683.1466276113,208798.24074046253
2014-05-31,209571.94360187635,199916.39057324367,220710.72661242407
2014-06-30,218849.42702471645,207912.62297405064,229326.55409409732
2014-07-31,223320.6766317736,212965.56309327614,233844.10494302658
2014-08-31,220700.3706839649,210887.48384180275,231501.50396312293
2014-09-30,214665.1723880278,204838.9195080386,224859.65531990648
