ds,yhat,yhat_lower,yhat_upper
2008-04-30,180846.80044127916,172830.54852421038,188889.1727587845
2008-05-31,190244.9215658911,182083.66217099578,197754.61722640003
2008-06-30,198778.90535544587,190460.17609295496,206753.3061617898
2008-07-31,200631.04105052433,192693.7701543968,208731.81765305644
2008-08-31,200445.40585533812,192661.59136578633,208952.49107403288
2008-09-30,191272.84486236822,183577.49779243057,199358.67925008244
2008-10-31,183864.76390370794,175870.08666515778,191164.31698516323
2008-11-30,178868.07417660055,170481.48615905346,187397.48376624726
2008-12-31,177799.68217097633,169657.18018315238,185877.47880498928
2009-01-31,175248.45904815893,167812.08714624948,183182.14935545172
2009-02-28,168011.49665365228,160115.73166498146,175973.05076532016
2009-03-31,172469.71220816276,164241.3335088039,179994.7094637859
2009-04-30,182414.8244096502,174314.79524836154,189988.04121865885
2009-05-31,192844.2988218184,185103.65699200492,200039.49395382675
2009-06-30,201787.14145985933,193499.008378352,209689.6151654177
2009-07-31,204330.38362865394,196579.54196640552,213078.42110995308
2009-08-31,203607.8673320009,195213.4182500822,211494.79185196347
2009-09-30,194837.7456949595,187139.75969670073,203298.4238962857
2009-10-31,187809.0581779384,179519.3667048589,195181.61657796014
2009-11-30,182235.69415374473,173870.05379477335,190028.01856541343
2009-12-31,179851.71639381378,171900.12106251344,188009.9317485762
2010-01-31,176531.98981930097,168600.74016657608,184507.82873035004
2010-02-28,174031.30877583695,165890.74192482757,181373.42105171463
2010-03-31,176559.00071192803,168761.06698958646,184243.50840901496
2010-04-30,183952.1589813985,176133.00170374766,192027.3438514311
2010-05-31,195457.4436201147,187309.77698367683,203340.64570392104
2010-06-30,204816.84793698034,196706.86984564166,212626.64207310945
2010-07-31,208040.59249008785,199783.67214411974,215432.15442125197
2010-08-31,206773.51331578693,199453.0174600568,215185.20002915675
2010-09-30,198409.9110837645,191166.6609749312,206755.98143457563
2010-10-31,191742.83002737368,184632.56950404774,199972.47609036323
2010-11-30,185570.2354225804,177653.6540259406,193907.17190676814
2010-12-31,181883.945191746,173818.8276878299,189320.630989541
2011-01-31,177866.43532957364,169805.52604987344,185744.63229104786
2011-02-28,180077.77362087436,172407.0780391793,188261.19649483328
2011-03-31,180591.4427657102,173064.03008379994,188399.34111883905
2011-04-30,185459.36972530707,177581.81376662292,193372.3905939611
2011-05-31,198084.40366539516,190147.59753576544,206475.92735158076
2011-06-30,207867.24163755757,200369.09991844092,216017.6071352389
2011-07-31,211760.24375281762,203967.59862585433,220097.71952267553
2011-08-31,209941.38130182298,202062.58287757527,217654.37688970106
2011-09-30,201988.06745700695,193865.87972574527,210087.08087698833
2011-10-31,195664.59130425187,188191.8821925919,203455.65188836216
2011-11-30,188871.4202652835,180944.7817094043,196883.19630656549
2011-12-31,184192.81219581462,176049.12105987026,191736.98002019266
2012-01-31,179843.31300220446,171805.12472194934,187655.8683636898
2012-02-29,175748.50232844029,167369.67772422984,183703.5522796209
2012-03-31,182347.13433164568,174317.5524761202,190170.62007823554
2012-04-30,195153.22838715097,186744.88282188648,202610.89190008826
2012-05-31,204846.3009505581,197059.84811007048,213063.19115389072
2012-06-30,213665.7216163764,205572.19507557477,222406.2773122296
2012-07-31,215812.82094352116,208109.1456409715,223406.20368171963
2012-08-31,215922.1493804074,207550.69458041442,223531.38477099824
2012-09-30,207035.03706364214,199422.66311395288,214825.82744387048
2012-10-31,199921.91973704388,192249.13140631124,207688.23526621444
2012-11-30,195210.67873651907,187417.2820021964,202923.4482393252
2012-12-31,194437.25041501358,186443.32296687106,202354.41504500006
2013-01-31,192181.0001231108,183964.5948512469,199001.857647458
2013-02-28,185210.46480171313,176691.021780747,193632.38743895869
2013-03-31,189963.65318712202,182936.41750250774,197678.95190073387
2013-04-30,200194.22296691028,192345.81959240374,208444.7888673602
2013-05-31,210918.56591309348,203136.98341971665,218750.41449133772
2013-06-30,220146.76519694683,212254.79749795847,228208.33632010705
2013-07-31,222984.8760152829,215077.5708070531,230618.37078956087
2013-08-31,222557.22836814082,214907.6265976548,230458.13122175442
2013-09-30,214072.46348870153,206605.31595210003,221588.08886361044
2013-10-31,207338.64462120345,199838.44093771602,215666.52030119565
2013-11-30,202050.63735460845,194098.24016958167,209808.55717112368
2013-12-31,199961.52813772488,192208.3087092858,208116.15249027294
2014-01-31,196936.6705770953,189190.0356154843,204675.9233195447
2014-02-28,194702.3228364941,186694.08734517882,202522.23178177542
2014-03-31,197524.8837864754,189136.68519890562,205667.01767303701
2014-04-30,205203.3991661296,196973.47902759115,213090.8308653894
2014-05-31,217003.5528187385,209402.27095346333,224315.95263681404
2014-06-30,226648.31377214275,218233.38606200513,234321.97951307535
2014-07-31,230198.23912497185,222112.131205818,238179.62179635794
2014-08-31,229257.34075038516,221099.41443402242,238028.18823688713
2014-09-30,221209.3973567998,213394.1290224474,229448.4115899412
2014-10-31,214868.49710012646,206873.37197012137,222784.08843766508
2014-11-30,209011.56133376597,200966.0492849247,217329.567544668
2014-12-31,205651.4519048624,197883.83001751095,214002.42773868487
2015-01-31,201960.1228446347,194502.85886761494,210213.007963621
2015-02-28,204625.7754540382,196766.977912191,211745.18007702075
2015-03-31,205642.435451107,197769.8498191629,213358.1415904837
2015-04-30,210997.127751541,202840.90119788583,218644.32517447646
2015-05-31,224125.1525438355,215814.87114801278,231770.51723552027
2015-06-30,234394.74926055144,226297.86934164882,242329.24431417702
2015-07-31,238790.7354118402,231060.4769371825,246663.04464426413
2015-08-31,237688.5753089174,229968.4395895401,245552.4068117357
2015-09-30,230428.84438160455,222462.05603402833,238580.07884551058
2015-10-31,224822.0705769394,216896.31858784723,232459.83613495147
2015-11-30,218722.48245546647,210889.48863529408,226743.7385339464
2015-12-31,214465.736950046,206832.867802121,223281.00225568
2016-01-31,210538.1003204899,203074.64995270752,218898.95992711055
2016-02-29,206965.48891174083,199068.27425553254,214859.48394727768
2016-03-31,214122.3339223673,206376.7175382492,222181.60754383088
2016-04-30,227468.6341140744,219154.86642458834,235644.82393049452
2016-05-31,237719.91968490664,229889.47416543873,244934.99852111354
2016-06-30,247079.54648691922,238614.14149687407,254804.47930388665
2016-07-31,249784.84662822564,241638.91085947226,257222.06103184674
2016-08-31,250570.4300647357,242586.63679460154,258686.6699777049
2016-09-30,242337.75807017973,234337.03243410998,250337.16128688437
2016-10-31,235900.89574320422,227754.85903376606,243532.1948403561
2016-11-30,231844.0950648898,224087.6887595076,239579.45587362515
2016-12-31,231746.9217430051,223821.5169703074,239759.02231754642
2017-01-31,230166.91730392736,222134.98159940814,238105.03320303618
2017-02-28,223832.76992208863,215482.33870266998,231514.13986174113
2017-03-31,229290.53066920277,222222.5334973626,237750.89341830014
2017-04-30,240202.94466998,232137.18687230648,248504.48057648586
