ds,yhat,yhat_lower,yhat_upper
2008-04-30,145285.22671279844,139864.06489601193,150545.45994104337
2008-05-31,152259.1028580318,146475.6378686518,158348.36815049953
2008-06-30,158496.0374992244,152949.20771550815,164244.85827399947
2008-07-31,160364.38072807822,154624.84856361512,166417.0665717086
2008-08-31,160781.04868323187,155015.6603341176,166429.76855155846
2008-09-30,155271.17442792733,149887.31919140782,160707.44786584505
2008-10-31,150390.00789126885,144651.01757328637,156047.85175989484
2008-11-30,145126.3103861034,139467.75303049607,150620.7561650734
2008-12-31,141889.77957994113,136363.2459688765,147624.5308123215
2009-01-31,137848.54792394655,132412.399522297,143365.4242327892
2009-02-28,134285.91390945367,128365.74358828015,139609.26734721265
2009-03-31,135704.23149844742,129853.17943940473,141259.85528175795
2009-04-30,142005.47548132393,136505.23699873962,147547.5490793896
2009-05-31,149369.08339599654,143808.6349110464,154863.83863143413
2009-06-30,156585.11219241697,150905.29457511546,162167.64606196882
2009-07-31,159925.98473284385,154158.4367809175,165480.68576055078
2009-08-31,160231.3022695069,154610.67577949306,165542.58874828005
2009-09-30,154529.01849389964,148393.6271370567,160114.3775815951
2009-10-31,149368.86219065942,143435.04402711912,155289.69383491948
2009-11-30,144329.38457282752,138503.1829680108,150093.50523649267
2009-12-31,142058.20622120277,136436.28228750883,147827.35430865132
2010-01-31,138031.8052238306,132083.87435119256,143619.79847097
2010-02-28,136676.46953104236,131178.0049530261,142328.07246983846
2010-03-31,136904.4822157889,130911.4956259532,142367.92062513984
2010-04-30,142642.62784626955,137162.2712601815,148112.59458962156
2010-05-31,150196.8151845016,144501.99089974,155452.2486242588
2010-06-30,158188.3417825642,152586.25984472726,164350.35164765097
2010-07-31,162753.5628929808,157261.96417302603,167900.1807629459
2010-08-31,162686.95864740416,157312.65171456608,168260.00112557865
2010-09-30,156560.5159452307,150835.67874286004,162072.51138367286
2010-10-31,150900.2292341494,145472.41406868515,156406.76918700064
2010-11-30,145886.15865187693,140003.33698481036,151843.20029682858
2010-12-31,144208.6349664837,138357.59872340877,149610.51198435106
2011-01-31,139830.08958681594,134254.4760615034,145401.42479431067
2011-02-28,140310.05691740292,134449.05098877422,145699.62253427834
2011-03-31,138938.27176802754,133376.31267786876,144767.54974679055
2011-04-30,143771.19410391364,138245.4669411984,149190.07033092415
2011-05-31,151473.51558404608,145406.99568608883,157143.02198045442
2011-06-30,160187.39024805144,154862.8439602344,166131.66700565885
2011-07-31,165884.1761315096,160367.6090337085,171469.348810547
2011-08-31,165342.2255068844,159701.98334148747,171060.93576403553
2011-09-30,158712.60232265416,152908.29951745315,164408.5509461054
2011-10-31,152488.67154682014,146669.1477444374,157928.50389931037
2011-11-30,147452.98910793348,141737.27285676036,153071.70344055738
2011-12-31,146377.4308674994,140278.0632935952,152438.82435082036
