ds,yhat,yhat_lower,yhat_upper
2008-04-30,137936.71722218368,132074.11896251325,144419.53972940845
2008-05-31,145683.82516891757,139809.91335279107,151335.14849055323
2008-06-30,152362.0689917444,146573.71817529007,158618.7587052117
2008-07-31,155957.43930505528,149674.48634456092,161613.15077397355
2008-08-31,154451.41619884962,148719.54901502497,160820.72398801596
2008-09-30,149557.96029235463,144081.59028398833,155081.66176708156
2008-10-31,145154.81073865123,139009.1351447637,151236.44743662476
2008-11-30,142133.07102607912,136298.17287620893,147720.72960479688
2008-12-31,140052.42157710894,134015.5218841598,145892.8719648667
2009-01-31,135338.75107823603,129692.38677941787,141439.8934079962
2009-02-28,129209.25944528813,123414.7168356901,134912.8486457949
2009-03-31,130521.40876462492,124402.75721492391,136617.69639680395
2009-04-30,137161.70117162645,131351.78105036143,142752.38755207806
2009-05-31,145077.73745771917,138757.8802895761,151169.1538981791
2009-06-30,152099.55435043227,146223.2191221671,157638.40452572692
2009-07-31,156495.25465258482,150395.58766031987,162505.28679308074
2009-08-31,155565.56400930235,149674.66771852583,161406.59477059252
2009-09-30,150828.57933120945,145082.1190947258,156779.799576775
2009-10-31,146117.55018955396,140200.66701678548,152217.00948478802
2009-11-30,142597.19662690294,137068.22376294393,148282.4959732654
2009-12-31,140185.63878943835,134617.6520752587,145969.19252128017
2010-01-31,135558.55235743787,129671.9429184915,141810.97763636828
2010-02-28,132774.49541009523,127337.96166185627,138399.0063748732
2010-03-31,132958.46130819054,127280.12974130998,139075.1508068642
2010-04-30,138266.06828649397,132225.75633275937,144177.9224078752
2010-05-31,146400.46901926567,139909.64297342824,152432.31109517816
2010-06-30,153807.16217388122,147789.40580520403,159646.07765163132
2010-07-31,159027.40889848323,152954.0610021114,164860.15777942166
2010-08-31,158680.06525077237,152759.72665717395,164199.89754769884
2010-09-30,154095.5543908605,148327.8050300047,160058.33918557334
2010-10-31,149082.4554735658,143679.38336720117,154964.83153778617
2010-11-30,145084.16688200014,139161.71297968205,151104.16910860938
2010-12-31,142124.30558375307,136455.79806058572,148338.713446523
2011-01-31,137390.9247525149,131421.98534321447,143441.19600566456
2011-02-28,137711.65886204972,132030.85235343562,143597.91574042657
2011-03-31,136472.50446103344,130855.38325015017,142770.92327267549
2011-04-30,140226.91032925737,134266.5640866656,146160.45401082473
2011-05-31,148481.45257576584,142428.3112936229,154254.29117141364
2011-06-30,156170.62141186677,150514.434060359,161949.62712160536
2011-07-31,162090.6688829013,156161.0463913265,167875.92279058349
2011-08-31,162183.01801352404,156285.89040719904,168069.84551507127
2011-09-30,157603.7973211686,152029.05405862702,163804.12647626016
2011-10-31,152147.18901225858,146407.3508224524,158237.11979355896
2011-11-30,147549.6049645647,142033.3762483716,152789.49768296917
2011-12-31,144118.93389947634,138150.1616724205,150039.03730022878
2012-01-31,139380.06968173126,133438.9297928745,145256.66515422813
2012-02-29,134622.12197903608,129123.56742033207,140535.11159197573
2012-03-31,137535.78526734043,131956.10081938072,143766.42033717615
2012-04-30,146030.64178875025,140096.06241168844,151636.306141017
2012-05-31,154071.86165345996,147871.1705098299,160429.75818832606
2012-06-30,161034.72991304047,155231.36369403475,166951.0007282805
2012-07-31,165164.02594061167,159014.7992177097,170593.83848944475
2012-08-31,164191.92854866642,158324.21646719138,170122.3319277098
