ds,yhat,yhat_lower,yhat_upper
2008-04-30,255417.29370150896,241371.30105311703,268895.46447895153
2008-05-31,262649.34445640317,249464.67220631102,276075.1990270427
2008-06-30,270445.79955151194,255696.41521281895,284263.8341224326
2008-07-31,273468.7743754822,259177.6295061201,287378.4363001413
2008-08-31,276869.84932397725,263423.9912085717,290554.68900928315
2008-09-30,274353.8537467683,260456.13690238993,287391.6749576485
2008-10-31,270108.68403822527,256221.40255809107,284430.17392731295
2008-11-30,264332.75160461344,251717.368352401,278624.66582344804
2008-12-31,260764.41798159006,246720.74582730912,273762.81850685924
2009-01-31,252403.72254098445,238923.45196101547,266266.24163181806
2009-02-28,238060.80240305484,224722.74517229333,252095.92194846828
2009-03-31,233940.96499048924,220418.82900433644,247662.4915662123
2009-04-30,236469.2529108388,223094.72249782973,250179.13232733644
2009-05-31,244671.7389980143,230658.28613360124,257833.66439962498
2009-06-30,254154.87163340143,241046.14249784258,269069.2414375977
2009-07-31,258646.3675077241,245230.15107393515,272536.1170030643
2009-08-31,261323.3732761951,247687.99706422377,274400.8906666877
2009-09-30,259715.4239036254,245864.3373885029,273766.63618542405
2009-10-31,256128.34225491522,241680.33704091873,268963.63826819893
2009-11-30,251287.8280327947,237016.93012042416,264960.5172697452
2009-12-31,246224.05810995874,232081.2602994975,259351.0870214361
2010-01-31,239983.328952606,226551.27207076544,253225.28089571162
2010-02-28,231703.46754528114,217581.7843146829,245382.8209921268
2010-03-31,226529.86838710503,212677.6124530819,239982.12346223157
2010-04-30,228039.05178159592,214235.75634601084,241987.4793217734
2010-05-31,237751.6423627099,224062.90920404907,251767.08172374926
2010-06-30,249405.7838805705,235757.60406451492,263325.0131408694
2010-07-31,255820.11667609197,241176.23665396596,270337.1107036763
2010-08-31,258242.00698988425,244272.2023174483,272684.19358755153
2010-09-30,258019.15869745016,243680.3131081563,270841.6553685209
2010-10-31,255566.3660173729,241687.50706666667,270049.23558631126
2010-11-30,252093.33646835294,238418.69428746545,266123.2210453439
2010-12-31,244086.4507755833,232448.07952389724,257233.85522860996
2011-01-31,238583.8340661081,224398.81349239053,251766.47120187324
2011-02-28,234990.86287037894,221943.92520487795,247907.462028254
2011-03-31,227209.84018218625,212843.29670953142,240876.449654309
2011-04-30,226310.8989104191,212592.89859908522,240844.9210818139
2011-05-31,236613.79928374197,223427.9666186741,250191.04969477688
2011-06-30,249509.28178328002,235774.8247787012,261965.9049548799
2011-07-31,256840.49734324176,243302.00451354502,271217.2775600596
2011-08-31,258018.07076266274,244366.57501238893,272332.4979999242
2011-09-30,258245.07744674516,245190.80532588018,271628.54519700614
2011-10-31,255943.32115260448,242697.43201172128,269262.0658006084
2011-11-30,252858.17239111505,240212.67962585398,267143.76364313974
2011-12-31,242152.13555947787,228124.5134706515,256016.53059519967
2012-01-31,237693.32866211497,223092.58116083767,251926.48861542813
2012-02-29,225892.95570831263,212561.65532503033,239202.79990727085
2012-03-31,225896.70834955698,212768.9397816198,239755.4019833133
2012-04-30,232528.27035787082,218457.85005042763,245725.33162536952
2012-05-31,241448.9429020479,228874.23788491773,254622.79656716832
2012-06-30,250879.54811582854,237793.96629082193,264417.9907850307
2012-07-31,255984.51257946645,242783.82184415899,269617.30693007295
2012-08-31,261467.57716764775,248134.39889919385,275785.2763674437
2012-09-30,260966.41027400267,247606.54850060973,274671.24796785903
2012-10-31,258803.23020512672,245352.1785924192,271624.24105816666
2012-11-30,255042.12645603914,241034.95789563854,268091.66765814205
2012-12-31,253555.7824736906,239628.53807200896,267567.9537315646
2013-01-31,247290.8986412033,233804.15138188208,261058.2111331367
2013-02-28,234840.9696332182,219777.90754201592,248763.5133465703
2013-03-31,232816.94382875314,219228.09809416026,246270.32360143072
2013-04-30,237373.4365311528,223769.6087739309,251196.9151365997
2013-05-31,247179.02495231794,233156.27394064996,260638.40696633147
2013-06-30,258213.54694317727,244121.58435708107,272313.45500958955
2013-07-31,264320.24443482736,251498.52010851153,277421.932299291
2013-08-31,268612.45182059193,254700.69857120712,281118.61892323836
2013-09-30,268567.600787347,255627.07896737495,281559.2194324234
2013-10-31,266595.72075595177,253161.99868842275,280244.0823372932
2013-11-30,263318.304873155,250412.9754386223,276051.57909318624
2013-12-31,258893.79534708662,245396.61964158816,274310.208776103
2014-01-31,253334.7470136825,239804.43747015524,267258.9777379708
2014-02-28,245670.59731832024,231290.8329116296,259558.4163284762
2014-03-31,241178.67898410533,227753.6320678822,255205.16297130633
2014-04-30,243347.5534985247,231203.5405354453,256357.29446361496
2014-05-31,253741.8249036015,239962.5718435367,267482.5957151687
2014-06-30,266055.65751396265,252442.37852029296,278386.61264259246
2014-07-31,273160.5214446581,258764.81795226003,285852.1602186101
2014-08-31,276272.942893616,263398.9592252306,289305.30193151545
2014-09-30,276718.35053844616,262603.7569095669,290211.8907112899
2014-10-31,274956.08899354213,261320.44597051587,287922.15539844305
2014-11-30,272151.31538178894,258630.26693969287,286034.35672330926
2014-12-31,264834.9608132976,251127.11037950378,279623.73595992685
2015-01-31,260022.8752281183,245453.09878672837,273973.3641937786
2015-02-28,257055.12503192958,242861.9457784235,271258.83538095496
2015-03-31,249966.31130756254,234911.62926971604,263528.7714633212
2015-04-30,249737.24967817657,236491.23884130732,263355.8573226983
2015-05-31,260732.3590152917,247340.1804479029,274647.5441671846
2015-06-30,274297.7210593646,260956.1920935036,287508.7148622218
2015-07-31,282321.1454820068,268760.9384296913,296616.10081238294
2015-08-31,284407.8233014752,271094.2359896666,297503.1370022295
2015-09-30,285514.6084372422,271594.7556080756,299125.49851522874
2015-10-31,284121.95654317393,271153.0783849999,298238.50590388034
2015-11-30,281916.58623335534,267973.6059694236,295306.7635354269
2015-12-31,271899.6826465647,258978.96871439478,286222.26117029367
2016-01-31,268130.0089940717,253129.1182581525,281596.96321862016
2016-02-29,257215.8062461313,243479.26152436138,271365.8452488155
2016-03-31,258166.84427983762,244424.1605136485,271889.52661337325
2016-04-30,265715.13408729865,252335.48641132363,279191.24124701787
2016-05-31,275583.092023946,261191.78583148314,288583.9750323248
2016-06-30,285930.42503686517,273101.3327581945,299916.38620841363
2016-07-31,291589.3070425952,278251.2477831782,305713.1374768856
2016-08-31,297804.62313449994,283878.1991301828,311627.2046605598
2016-09-30,298012.0867283263,284344.5923602305,312006.54697394726
2016-10-31,296581.1581631767,282781.1258482911,310040.1192123867
2016-11-30,293528.68490156246,279781.5193798809,306695.06635713234
2016-12-31,292774.59242293134,279220.8472147194,306782.5644099156
2017-01-31,287228.13812671055,274154.61667728535,300846.7890534825
2017-02-28,275434.5435547978,262662.86974449124,289411.4989492245
2017-03-31,274137.1737331819,260155.76171157815,287242.4261302967
2017-04-30,279396.8819028337,266059.3846062708,293481.95558832015
2017-05-31,289929.1263068216,275022.43052172527,303558.49813041877
2017-06-30,301666.86376493116,287859.4151131864,314328.84784189065
2017-07-31,308488.1179560898,294110.9007905987,322117.9198354901
2017-08-31,313494.88204135024,299286.6785258769,327657.5137468828
2017-09-30,314141.53759011003,301152.29866403947,328008.03515036014
2017-10-31,312884.2143600921,300179.66759249597,326473.31472693814
2017-11-30,310298.30505930743,296852.24373845605,325600.5858522277
2017-12-31,306588.35233461624,294233.7662961489,320179.69404265244
2018-01-31,301701.4403754117,287628.93956935866,316409.94291406206
2018-02-28,294644.3815986615,281394.86553825124,308245.4551006031
2018-03-31,290824.60000670014,276837.1041908703,303945.27242254664
2018-04-30,293643.92943301,280420.7540594672,307637.39500957076
2018-05-31,304710.3375803225,291506.4170545864,317783.6913201422
2018-06-30,317674.625102538,303620.7910173096,332445.24389133614
2018-07-31,325442.7754358775,311408.0773092021,339122.23652406107
2018-08-31,329218.48328749085,316217.9860466274,342698.20365188364
2018-09-30,330308.27301696246,317102.10333366215,344305.8115028363
2018-10-31,329211.87295952905,316299.53978425585,342710.4601860971
2018-11-30,327051.48143241525,313662.38531604875,340291.38644065405
2018-12-31,320400.988351377,306715.7170527864,334937.3517353086
2019-01-31,316254.7642536616,303604.55037594103,329968.8337954476
2019-02-28,313886.92186854477,299693.7502709721,327832.3557956991
2019-03-31,308394.51464722864,294682.7849652262,322283.6337147214
2019-04-30,309710.3625369662,296397.1808725744,322932.9106904012
2019-05-31,322301.8783771585,308641.3492182814,336381.00507154927
2019-06-30,337412.14994033263,322915.2970733536,350301.4364714643
2019-07-31,347031.9808660381,333036.67310169904,360865.22693929134
2019-08-31,350498.16965121176,337054.663297369,364923.25298144744
2019-09-30,354034.1295735913,339748.9508443082,368418.6397890771
2019-10-31,355151.6249590139,341488.7542446046,368785.4092541907
2019-11-30,355375.4294358095,341463.7504710574,368518.8049080035
2019-12-31,347868.6731285277,334235.92327141966,361728.40903070546
2020-01-31,346609.1467555237,333216.1216646062,359317.63936887676
2020-02-29,337801.64913095394,324564.9236219133,351077.40282788925
2020-03-31,341004.68229657947,326884.76877687644,354622.9755475487
2020-04-30,350732.32229975413,337149.36482707266,365286.82731051336
2020-05-31,362852.2754386374,348996.8708676447,376677.9659840785
2020-06-30,375378.9586472749,361579.01756186574,388449.1185758035
2020-07-31,383289.8358552103,369930.4043725909,396942.60385956906
2020-08-31,391578.813187711,378029.9481486368,404431.78274339414
2020-09-30,393793.0457240315,379388.9881573012,407163.15156181634
2020-10-31,394435.77841298655,380647.04535061703,408354.0638038955
2020-11-30,393390.07410693984,379791.53701002954,407034.408386191
2020-12-31,394709.6428824077,381126.0510912297,407515.6245712912
2021-01-31,391236.8498403071,378479.28246097075,404638.6379697876
2021-02-28,381308.8092881204,368476.7041217259,395240.21334449784
2021-03-31,382076.8742740331,367376.99463091773,395985.28617512045
2021-04-30,389213.52692100033,376751.6968937898,401249.48255396384
2021-05-31,401685.2806182101,388458.0178486941,415225.6856782314
2021-06-30,415299.96255364444,401294.3384542608,428368.66848832293
2021-07-31,424060.72603801906,410118.11357872264,438377.0490467898
2021-08-31,431006.9994165122,417834.6007082541,445112.6780559153
2021-09-30,433530.5993439911,419915.13863868656,446067.414293858
2021-10-31,434212.7853053267,420021.14541419205,448367.9903260963
2021-11-30,433503.8203832491,420532.68381560873,447713.55064947705
2021-12-31,431733.3768499074,418927.5430585658,444929.29024482175
2022-01-31,428785.974082036,415504.840785252,443298.93617189047
2022-02-28,423480.73005878815,409656.84250269673,437306.74016711814
2022-03-31,421600.45729008643,407491.3013402973,435423.3628568941
2022-04-30,426296.7307389081,411938.1730548154,440833.6211824973
2022-05-31,439302.64770950633,425115.5007835614,451943.185942873
2022-06-30,454143.87925424974,441172.76028657955,466830.4587952738
2022-07-31,463851.5384108932,450456.73223770515,477659.6013805107
2022-08-31,469566.75508579885,456669.1581558189,484283.3017804074
