ds,yhat,yhat_lower,yhat_upper
2008-04-30,194093.04417602837,183488.42896180382,205299.7409492077
2008-05-31,196593.9705753611,185561.29747305188,208319.79896621098
2008-06-30,197243.78770746847,186077.09500423155,208626.9553819427
2008-07-31,200386.69477011234,189943.33536306577,210566.28736717647
2008-08-31,196917.11354823865,186373.09596741814,208713.5445480535
2008-09-30,190686.02937436436,179741.89670783558,201758.61391847918
2008-10-31,183577.47827387496,172306.3861636934,195125.07892110545
2008-11-30,178837.5192113742,167929.77505599798,188807.92722287306
2008-12-31,178922.63184620545,168202.64098264207,190395.6827781641
2009-01-31,177875.169906963,166483.60480634886,187833.47626204026
2009-02-28,171560.3603261275,160803.35522558016,182352.0731333422
2009-03-31,169931.21740508787,158203.17514320326,181536.06845723186
2009-04-30,174452.91430441922,163604.59987659234,185558.76780742983
2009-05-31,177339.4597569434,166623.58609696862,188191.02421643725
2009-06-30,179379.4236755777,167805.54096692402,190350.08268864392
2009-07-31,181205.84532042817,170825.29514256495,191688.9340258905
2009-08-31,178258.4632224263,168144.15971583314,189372.00305858086
2009-09-30,172104.80716266867,161309.67658595456,183418.36083876732
2009-10-31,165719.52549618014,155357.42000901126,176942.2132480351
2009-11-30,160974.6043782745,150186.52520872361,172068.541110942
2009-12-31,160240.19871917108,149082.8157709709,170712.24210269022
2010-01-31,157888.52888750134,146939.99403456974,168570.46507743976
2010-02-28,155611.5624027135,144922.39938501894,166365.39268891315
2010-03-31,153152.23847787318,141971.55231511837,164185.7190687052
2010-04-30,156234.58440952352,145127.24907695124,166849.09272756553
2010-05-31,159713.21122365844,149126.59613090593,171525.86440456015
2010-06-30,163491.41383147676,152861.76320443372,173756.62348973477
2010-07-31,164365.1060834251,153223.09314253417,175412.68768934696
2010-08-31,162330.01506878546,151005.03369458392,173391.33512979024
2010-09-30,156620.88605255916,145192.15509549715,168093.2654272904
2010-10-31,151324.8989882045,141117.23907159534,162944.95113182967
2010-11-30,146907.08964112506,136507.06936621224,158661.35187633176
2010-12-31,145747.72865961262,135651.20323732536,156916.00245049744
2011-01-31,142553.56732850563,131744.76611042352,152958.32151517563
2011-02-28,144685.76489641544,134066.54594174188,155506.7794238268
2011-03-31,141741.7783169817,130359.55894502613,152886.82497923178
2011-04-30,143786.0718589863,132665.28129469338,155357.7432508127
2011-05-31,148333.68972850483,137635.28510788924,159272.90563905516
2011-06-30,154754.63609094053,143805.6909049678,164644.7942150395
2011-07-31,155616.74769385814,145414.25272158792,166876.32211352882
2011-08-31,155460.11162188894,144323.56017769946,166478.29670770073
2011-09-30,151119.9083378126,140461.0980296215,161959.85016733484
2011-10-31,147854.74071084545,136685.25495147353,159230.02886027485
2011-11-30,144654.0825608961,134277.63057547237,155488.01876945916
2011-12-31,144089.13353712054,132977.91186774144,156411.75367908174
2012-01-31,141138.57088425657,130257.43996809357,151824.96237338532
2012-02-29,141335.1022498866,130580.37171750028,153129.34918263147
2012-03-31,143290.56905418952,131756.55089046108,155483.2240227781
2012-04-30,151982.72827649637,141178.52420206755,163440.65976870607
2012-05-31,157053.89246753292,146339.30078241066,168126.9021354426
2012-06-30,160191.0364948503,149316.0211774595,171432.69435818674
2012-07-31,165904.22759818757,154326.64788667776,176040.00586691903
2012-08-31,165004.93041699694,155031.90538376904,175693.13009334102
2012-09-30,161261.217895416,149164.80887850435,171708.15863863562
2012-10-31,156722.95083561144,145270.9106265724,167172.9841232764
2012-11-30,154470.36341062858,143281.65753545743,164825.7209821652
2012-12-31,157125.7600708864,146998.139759966,168298.26162608544
2013-01-31,158648.95623124603,148276.3522253882,169892.0218672947
2013-02-28,154656.03138554972,143363.06863674652,166177.69430276073
2013-03-31,155597.54656409952,144551.62459093396,166328.10242444187
2013-04-30,162606.97710820273,152210.92816629075,173826.78527732886
2013-05-31,168027.45164156458,156424.7045669418,178908.60490466456
2013-06-30,172519.6049932654,161881.76532312296,183734.34143306542
2013-07-31,176879.96927034197,165501.24792481933,188705.58701520402
2013-08-31,176466.5298045539,165447.95194946943,188007.02400005033
2013-09-30,172765.07629210697,161964.32116627082,184292.20340422518
2013-10-31,168913.73725783697,158381.37932036613,179353.59728728747
2013-11-30,166621.01868724488,156760.6864752115,178410.8505482637
2013-12-31,168213.0477457045,157155.02000278016,179221.78266810035
2014-01-31,168187.81579731748,156469.4202017997,178548.38297777824
2014-02-28,168012.14804581177,156614.8232063479,178677.37958261717
2014-03-31,167879.26200425596,155738.02706684222,178773.08199923136
2014-04-30,173212.99943583246,162285.48819595308,184261.2379599942
2014-05-31,179018.06413325388,167671.3703830192,189127.25644156613
2014-06-30,184851.5184287838,174104.83112207107,195968.97687427964
2014-07-31,187867.88258689202,178169.43027602378,199360.01688540488
2014-08-31,187975.46347841274,176277.37945310457,198754.44302128287
2014-09-30,184339.8879197545,172992.53318638736,195671.70766906883
2014-10-31,181186.5727615616,169950.6070613311,192883.3916837138
2014-11-30,178842.31687204936,167321.6073472633,189265.54917480532
2014-12-31,179379.28477225057,167477.99532996607,190483.48923803953
2015-01-31,177881.45232287335,166656.80773224297,189045.93155359893
2015-02-28,181743.87337826894,170640.53450731433,192782.28992454216
2015-03-31,180715.4913742955,169374.23949953014,190950.22541102374
2015-04-30,184613.59579575557,172919.31647972486,195917.6780174182
2015-05-31,191076.81824071243,179897.27593543736,201686.69672380484
2015-06-30,198467.46086655676,187951.25607121477,209590.88538112064
2015-07-31,200331.5919416443,189733.00970525644,211436.70490753607
2015-08-31,201428.9850125868,190501.7284514415,211376.3971255779
2015-09-30,198302.35831842708,188095.6324339298,209504.31225527395
2015-10-31,196291.21983438177,185148.11296062273,207947.71873568493
2015-11-30,194304.13827435422,183302.72520771465,205458.3943248273
2015-12-31,194229.8234841694,182770.12723744035,205355.4678761523
2016-01-31,191769.89506490005,180922.03669376936,202387.65730536103
2016-02-29,192425.40684337454,181096.36486611952,203678.52653930816
2016-03-31,194871.50788208575,183838.76383419457,205538.1822224744
2016-04-30,204038.4744280058,193060.97721583597,214326.44884648907
2016-05-31,209600.27285345213,198063.3439302861,220643.1262746264
2016-06-30,213212.22420438257,202326.70413857806,223969.91995338135
2016-07-31,219416.0032931466,207914.17872789488,230781.39909242795
2016-08-31,219007.29413255668,206919.64299259867,230424.4272404036
2016-09-30,215738.3442115449,205543.79511628178,227117.0081153771
2016-10-31,211690.66517233732,200100.1933136782,222221.40507810272
2016-11-30,209912.8403479244,198911.0368717103,221847.38245650922
2016-12-31,213058.82502877887,201662.89574585133,224393.20689057876
2017-01-31,215072.23513556406,204150.47501188758,225602.4068612243
2017-02-28,211522.08420971976,201098.45821790327,222445.0118683218
2017-03-31,212953.813371007,203001.23556087923,223483.94046115683
2017-04-30,220437.6445435558,210141.72237648064,231839.36772377952
2017-05-31,226348.333059635,215998.79495977392,236913.6159451269
2017-06-30,231314.88703977212,219821.40869639145,241931.0816657676
2017-07-31,236165.4517481803,224663.8019495903,246624.0624778218
2017-08-31,236242.2127137334,225156.2793041789,247384.67400007247
2017-09-30,233015.14674191954,221809.69827912943,243970.0553816159
2017-10-31,229654.00816629373,218427.99707675824,240550.8942662089
2017-11-30,227835.6771363392,217409.15212933722,239135.3875306917
2017-12-31,229917.90665344312,218492.34621615068,241267.94431210862
2018-01-31,230382.87199798747,219420.29734678552,240994.13524012582
2018-02-28,230649.96309169955,220111.8303213426,242118.21994151734
2018-03-31,231007.27433168603,220588.56077700548,242134.07548454872
2018-04-30,236815.39622929782,225684.21993241212,248042.17787116164
2018-05-31,243110.6582082518,233036.46435065172,254402.6524403497
2018-06-30,249418.4969697961,238779.16187060365,261217.07372389626
2018-07-31,252906.14658058362,242008.23603007974,264161.3000486735
2018-08-31,253485.01292478314,242054.97797347282,264301.1861385989
2018-09-30,250305.5200601272,239794.70399019954,261890.6172979657
2018-10-31,247623.49035240256,236851.65207922185,258920.7343016602
2018-11-30,245735.31715688342,234856.0755690215,256227.95378544618
2018-12-31,246743.57050753842,235875.80701198432,256897.24110689855
2019-01-31,245717.02350861183,234762.27677782593,257191.56164618442
2019-02-28,249807.06627978603,239480.57134825576,260986.76505762682
