DATE,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
1991-08-30,8.77,9.15,0.3800000000000008
1991-09-06,8.79,9.14,0.3500000000000014
1991-09-13,8.68,9.02,0.33999999999999986
1991-09-20,8.62,8.95,0.33000000000000007
1991-09-27,8.59,8.92,0.33000000000000007
1991-10-04,8.51,8.87,0.35999999999999943
1991-10-11,8.46,8.82,0.35999999999999943
1991-10-18,8.45,8.82,0.370000000000001
1991-10-25,8.51,8.91,0.40000000000000036
1991-11-01,8.41,8.78,0.3699999999999992
1991-11-08,8.36,8.76,0.40000000000000036
1991-11-15,8.32,8.69,0.3699999999999992
1991-11-22,8.25,8.63,0.3800000000000008
1991-11-29,8.29,8.7,0.41000000000000014
1991-12-06,8.21,8.62,0.40999999999999837
1991-12-13,8.1,8.53,0.4299999999999997
1991-12-20,8.07,8.49,0.41999999999999993
1991-12-27,7.9,8.35,0.4499999999999993
1992-01-03,7.79,8.24,0.4500000000000002
1992-01-10,7.79,8.23,0.4400000000000004
1992-01-17,8.03,8.45,0.41999999999999993
1992-01-24,8.14,8.56,0.41999999999999993
1992-01-31,8.28,8.68,0.40000000000000036
1992-02-07,8.3,8.67,0.3699999999999992
1992-02-14,8.36,8.73,0.370000000000001
1992-02-21,8.43,8.82,0.39000000000000057
1992-02-28,8.44,8.83,0.39000000000000057
1992-03-06,8.48,8.85,0.3699999999999992
1992-03-13,8.51,8.88,0.370000000000001
1992-03-20,8.69,9.03,0.33999999999999986
1992-03-27,8.63,8.98,0.34999999999999964
1992-04-03,8.57,8.96,0.39000000000000057
1992-04-10,8.44,8.84,0.40000000000000036
1992-04-17,8.38,8.76,0.379999999999999
1992-04-24,8.49,8.85,0.35999999999999943
1992-05-01,8.46,8.84,0.379999999999999
1992-05-08,8.38,8.75,0.3699999999999992
1992-05-15,8.26,8.64,0.3800000000000008
1992-05-22,8.16,8.53,0.3699999999999992
1992-05-29,8.21,8.6,0.3899999999999988
1992-06-05,8.18,8.59,0.41000000000000014
1992-06-12,8.12,8.54,0.41999999999999993
1992-06-19,8.03,8.48,0.45000000000000107
1992-06-26,7.98,8.43,0.4499999999999993
1992-07-03,7.84,8.29,0.4499999999999993
1992-07-10,7.67,8.13,0.46000000000000085
1992-07-17,7.63,8.09,0.45999999999999996
1992-07-24,7.61,8.08,0.46999999999999975
1992-07-31,7.6,8.05,0.45000000000000107
1992-08-07,7.59,8.06,0.47000000000000064
1992-08-14,7.48,7.96,0.47999999999999954
1992-08-21,7.38,7.87,0.4900000000000002
1992-08-28,7.51,8.01,0.5
1992-09-04,7.44,7.94,0.5
1992-09-11,7.33,7.84,0.5099999999999998
1992-09-18,7.37,7.89,0.5199999999999996
1992-09-24,7.48,8.02,0.5399999999999991
1992-10-02,7.37,7.93,0.5599999999999996
1992-10-09,7.46,8.01,0.5499999999999998
1992-10-16,7.51,8.06,0.5500000000000007
1992-10-23,7.71,8.23,0.5200000000000005
1992-10-30,7.68,8.21,0.5300000000000011
1992-11-06,7.75,8.29,0.5399999999999991
1992-11-13,7.79,8.32,0.5300000000000002
1992-11-20,7.83,8.32,0.4900000000000002
1992-11-27,7.81,8.29,0.47999999999999954
1992-12-04,7.87,8.34,0.46999999999999975
1992-12-11,7.77,8.23,0.46000000000000085
1992-12-18,7.74,8.19,0.4499999999999993
1992-12-25,7.65,8.13,0.4800000000000004
1992-12-31,7.68,8.14,0.46000000000000085
1993-01-08,7.6,8.07,0.47000000000000064
1993-01-15,7.56,8.04,0.47999999999999954
1993-01-22,7.51,8.0,0.4900000000000002
1993-01-29,7.37,7.86,0.4900000000000002
1993-02-05,7.29,7.8,0.5099999999999998
1993-02-12,7.25,7.75,0.5
1993-02-19,7.12,7.65,0.5300000000000002
1993-02-26,7.02,7.53,0.5100000000000007
1993-03-05,6.91,7.44,0.5300000000000002
1993-03-12,6.97,7.47,0.5
1993-03-19,7.07,7.57,0.5
1993-03-26,7.01,7.5,0.4900000000000002
1993-04-02,7.03,7.53,0.5
1993-04-09,7.07,7.57,0.5
1993-04-16,6.93,7.45,0.5200000000000005
1993-04-23,6.86,7.38,0.5199999999999996
1993-04-30,6.91,7.43,0.5199999999999996
1993-05-07,6.88,7.42,0.54
1993-05-14,6.86,7.42,0.5599999999999996
1993-05-21,6.98,7.52,0.5399999999999991
1993-05-28,6.99,7.5,0.5099999999999998
1993-06-04,6.97,7.47,0.5
1993-06-11,6.98,7.48,0.5
1993-06-18,6.87,7.38,0.5099999999999998
1993-06-25,6.84,7.34,0.5
1993-07-02,6.76,7.23,0.47000000000000064
1993-07-09,6.71,7.19,0.4800000000000004
1993-07-16,6.67,7.16,0.4900000000000002
1993-07-23,6.7,7.2,0.5
1993-07-30,6.75,7.25,0.5
1993-08-06,6.72,7.21,0.4900000000000002
1993-08-13,6.68,7.17,0.4900000000000002
1993-08-20,6.62,7.1,0.47999999999999954
1993-08-27,6.49,6.97,0.47999999999999954
1993-09-03,6.45,6.93,0.47999999999999954
1993-09-10,6.35,6.82,0.47000000000000064
1993-09-17,6.49,6.96,0.46999999999999975
1993-09-24,6.47,6.95,0.4800000000000004
1993-10-01,6.41,6.89,0.47999999999999954
1993-10-08,6.39,6.87,0.4800000000000004
1993-10-15,6.36,6.81,0.4499999999999993
1993-10-22,6.31,6.74,0.4300000000000006
1993-10-29,6.4,6.86,0.45999999999999996
1993-11-05,6.65,7.11,0.45999999999999996
1993-11-12,6.64,7.12,0.4800000000000004
1993-11-19,6.62,7.08,0.45999999999999996
1993-11-26,6.84,7.31,0.46999999999999975
1993-12-04,6.74,7.25,0.5099999999999998
1993-12-10,6.65,7.14,0.4899999999999993
1993-12-17,6.7,7.17,0.46999999999999975
1993-12-24,6.69,7.17,0.47999999999999954
1993-12-31,6.63,7.13,0.5
1994-01-07,6.74,7.23,0.4900000000000002
1994-01-14,6.48,6.99,0.5099999999999998
1994-01-21,6.57,7.05,0.47999999999999954
1994-01-28,6.47,6.97,0.5
1994-02-04,6.46,6.97,0.5099999999999998
1994-02-11,6.72,7.21,0.4900000000000002
1994-02-18,6.64,7.11,0.47000000000000064
1994-02-25,6.8,7.32,0.5200000000000005
1994-03-04,7.01,7.51,0.5
1994-03-11,7.15,7.63,0.47999999999999954
1994-03-18,7.27,7.76,0.4900000000000002
1994-03-25,7.3,7.8,0.5
1994-04-01,7.55,8.04,0.4899999999999993
1994-04-08,7.91,8.47,0.5600000000000005
1994-04-15,7.72,8.26,0.54
1994-04-22,7.97,8.49,0.5200000000000005
1994-04-29,7.85,8.32,0.47000000000000064
1994-05-06,8.03,8.53,0.5
1994-05-13,8.25,8.77,0.5199999999999996
1994-05-20,8.04,8.56,0.5200000000000014
1994-05-27,7.99,8.53,0.5399999999999991
1994-06-03,8.02,8.55,0.5300000000000011
1994-06-10,7.79,8.25,0.45999999999999996
1994-06-17,7.83,8.33,0.5
1994-06-24,8.0,8.46,0.46000000000000085
1994-07-01,8.07,8.57,0.5
1994-07-08,8.15,8.68,0.5299999999999994
1994-07-15,8.2,8.72,0.5200000000000014
1994-07-22,8.05,8.53,0.47999999999999865
1994-07-29,8.09,8.57,0.4800000000000004
1994-08-05,7.9,8.38,0.4800000000000004
1994-08-12,8.08,8.57,0.4900000000000002
1994-08-19,8.05,8.54,0.48999999999999844
1994-08-26,8.05,8.56,0.5099999999999998
1994-09-02,7.96,8.48,0.5200000000000005
1994-09-09,8.03,8.51,0.4800000000000004
1994-09-16,8.15,8.66,0.5099999999999998
1994-09-23,8.21,8.73,0.5199999999999996
1994-09-30,8.31,8.82,0.5099999999999998
1994-10-07,8.38,8.89,0.5099999999999998
1994-10-14,8.4,8.93,0.5299999999999994
1994-10-21,8.3,8.85,0.5499999999999989
1994-10-28,8.47,9.03,0.5599999999999987
1994-11-04,8.51,9.05,0.5400000000000009
1994-11-11,8.67,9.19,0.5199999999999996
1994-11-18,8.71,9.19,0.47999999999999865
1994-11-25,8.77,9.25,0.4800000000000004
1994-12-02,8.76,9.23,0.47000000000000064
1994-12-09,8.77,9.15,0.3800000000000008
1994-12-16,8.89,9.25,0.35999999999999943
1994-12-23,8.79,9.18,0.39000000000000057
1994-12-30,8.81,9.18,0.3699999999999992
1995-01-06,8.87,9.22,0.3500000000000014
1995-01-13,8.85,9.19,0.33999999999999986
1995-01-20,8.7,9.05,0.3500000000000014
1995-01-27,8.76,9.13,0.370000000000001
1995-02-03,8.59,8.94,0.34999999999999964
1995-02-10,8.45,8.8,0.3500000000000014
1995-02-17,8.46,8.84,0.379999999999999
1995-02-24,8.34,8.73,0.39000000000000057
1995-03-03,8.15,8.53,0.379999999999999
1995-03-10,8.24,8.62,0.379999999999999
1995-03-17,8.0,8.38,0.3800000000000008
1995-03-24,7.97,8.4,0.4300000000000006
1995-03-31,7.96,8.38,0.4200000000000008
1995-04-07,7.99,8.41,0.41999999999999993
1995-04-14,7.93,8.37,0.4399999999999995
1995-04-21,7.8,8.24,0.4400000000000004
1995-04-28,7.8,8.26,0.45999999999999996
1995-05-05,7.8,8.27,0.46999999999999975
1995-05-12,7.45,7.87,0.41999999999999993
1995-05-19,7.39,7.83,0.4400000000000004
1995-05-26,7.4,7.85,0.4499999999999993
1995-06-02,7.24,7.71,0.46999999999999975
1995-06-09,7.0,7.51,0.5099999999999998
1995-06-16,7.03,7.55,0.5199999999999996
1995-06-23,7.01,7.53,0.5200000000000005
1995-06-30,7.03,7.53,0.5
1995-07-07,7.11,7.63,0.5199999999999996
1995-07-14,6.89,7.41,0.5200000000000005
1995-07-21,7.08,7.6,0.5199999999999996
1995-07-28,7.27,7.79,0.5200000000000005
1995-08-04,7.31,7.82,0.5100000000000007
1995-08-11,7.31,7.8,0.4900000000000002
1995-08-18,7.43,7.94,0.5100000000000007
1995-08-25,7.39,7.88,0.4900000000000002
1995-09-01,7.27,7.76,0.4900000000000002
1995-09-08,7.16,7.63,0.46999999999999975
1995-09-15,7.12,7.6,0.47999999999999954
1995-09-22,7.09,7.57,0.4800000000000004
1995-09-29,7.16,7.62,0.45999999999999996
1995-10-06,7.09,7.57,0.4800000000000004
1995-10-13,7.01,7.5,0.4900000000000002
1995-10-20,6.92,7.38,0.45999999999999996
1995-10-27,7.01,7.45,0.4400000000000004
1995-11-03,6.97,7.44,0.47000000000000064
1995-11-09,6.87,7.37,0.5
1995-11-17,6.86,7.35,0.4899999999999993
1995-11-24,6.85,7.35,0.5
1995-12-01,6.85,7.33,0.4800000000000004
1995-12-08,6.74,7.18,0.4399999999999995
1995-12-15,6.71,7.15,0.4400000000000004
1995-12-22,6.73,7.23,0.5
1995-12-29,6.65,7.11,0.45999999999999996
1996-01-05,6.56,7.02,0.45999999999999996
1996-01-12,6.59,7.08,0.4900000000000002
1996-01-19,6.53,7.02,0.4899999999999993
1996-01-26,6.5,7.0,0.5
1996-02-02,6.52,7.02,0.5
1996-02-09,6.51,7.02,0.5099999999999998
1996-02-16,6.44,6.94,0.5
1996-02-23,6.77,7.32,0.5500000000000007
1996-03-01,6.87,7.41,0.54
1996-03-08,6.87,7.38,0.5099999999999998
1996-03-15,7.32,7.83,0.5099999999999998
1996-03-22,7.32,7.81,0.4899999999999993
1996-03-29,7.19,7.69,0.5
1996-04-05,7.29,7.78,0.4900000000000002
1996-04-12,7.56,8.05,0.4900000000000011
1996-04-19,7.48,7.95,0.46999999999999975
1996-04-26,7.43,7.92,0.4900000000000002
1996-05-03,7.5,7.99,0.4900000000000002
1996-05-10,7.75,8.24,0.4900000000000002
1996-05-17,7.59,8.08,0.4900000000000002
1996-05-24,7.51,8.01,0.5
1996-05-31,7.54,8.03,0.4899999999999993
