DATE,MeanSalePrice,SalesCount,TotalTransactionValue,HomeValueIndex,HomeValueIndexSmSa,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,SaleToList,NewConstructMeanSalePrice,NewConstructSalesCount,PctListingsPriceCut,PctSoldAboveList,PctSoldBelowList,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE,NUM_JOBS,GROWTH_PCT,People25PlusThousands_2019,PctHighSchoolDiploma_2019,PctBachelorsDegree_2019,CityName
2008-04-30,200954.0,6463.0,1235943161.0,185168.7075775456,189442.06154973028,,,,,,,,,,,,5.465,5.918,0.452,2454.9,-3.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-05-31,203419.0,6729.0,1317605043.0,185331.2457654904,188426.2203420899,,,,,,,,,,,,5.6,6.036,0.436,2450.9,-6.2,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-06-30,205746.0,7047.0,1388669753.0,185185.0951139084,187437.28897130385,,,,,,,,,,,,5.91,6.32,0.41,2442.4,-6.1,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-07-31,205553.0,7086.0,1429204523.0,184692.08930456155,186253.86132475332,,,,,,,,,,,,5.972,6.426,0.454,2434.6,-6.8,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-08-31,202855.0,6383.0,1388101348.0,183376.3649336153,184882.81546237893,,,,,,,,,,,,6.025,6.478,0.452,2429.3,-7.2,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-09-30,192124.0,6481.0,1279231400.0,181570.71150856692,183398.86221976893,,,,,,,,,,,,5.64,6.037,0.397,2418.2,-8.1,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-10-31,186005.0,5922.0,1164930657.0,178893.60526500226,181709.97308918144,,,,,,,,,,,,5.892,6.2,0.308,2405.8,-9.6,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-11-30,173167.0,4381.0,975936780.0,174990.88677233306,179538.8620466405,,,,,,,,,,,,5.79,6.088,0.297,2391.1,-12.7,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2008-12-31,171087.0,5435.0,903177091.0,170743.1188640582,176779.59563136342,,,,,,,,,,,,5.038,5.286,0.248,2377.5,-13.6,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-01-31,163269.0,4395.0,775757565.0,167465.40145580718,173859.52039520806,,,,,,,,,,,,4.718,5.047,0.33,2361.9,-14.6,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-02-28,160725.0,4624.0,776988697.0,164465.44208558736,171152.89671093295,,,,,,,,,,,,4.772,5.13,0.358,2347.0,-14.7,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-03-31,156887.0,5950.0,783335720.0,162229.92114663986,168788.79125198536,,,,,,,,,,,,4.638,5.003,0.365,2329.6,-16.0,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-04-30,157948.0,5827.0,865594748.0,160752.7239476334,166469.16508045178,,,,,,,,,,,,4.5,4.81,0.31,2313.2,-16.2,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-05-31,162892.0,5788.0,953492845.0,159722.17694099198,164228.397846065,,,,,,,,,,,,4.515,4.857,0.343,2302.8,-14.7,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-06-30,171448.0,7168.0,1079171413.0,159248.10848261596,162243.2540955911,,,,,,,,,,,,4.902,5.42,0.518,2292.1,-12.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-07-31,177907.0,7144.0,1196674137.0,159156.43030183393,160697.76566059524,,,,,,,,,,,,4.692,5.222,0.53,2279.8,-11.1,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-08-31,180461.0,6369.0,1245408140.0,158334.76263379483,159474.60300483915,,,,,,,,,,,,4.612,5.192,0.58,2273.1,-9.9,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-09-30,176335.0,6088.0,1153988188.0,156830.0280672146,158303.7585404033,,,,,,,,,,,,4.492,5.058,0.565,2268.3,-7.9,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-10-31,173044.0,6415.0,1088667439.0,155131.9272898632,157079.35104559173,,,,,,,,,,,,4.39,4.952,0.562,2264.8,-5.0,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-11-30,171491.0,6196.0,1068932472.0,153712.76527156454,155999.5275048229,,,,,,,,,,,,4.343,4.875,0.532,2263.6,-3.2,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2009-12-31,170760.0,6076.0,1063806253.0,152619.2794903337,155264.38198602735,,,,,,,,,,,,4.392,4.93,0.538,2260.8,-2.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-01-31,167627.0,4184.0,922739948.0,150844.2676485798,154577.80001796543,,,,,,,,,,,,4.435,5.03,0.595,2260.5,-1.4,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-02-28,164250.0,4809.0,827615050.0,149792.210921859,153966.65962054883,,,,,,,,,,,,4.367,4.99,0.622,2259.2,-1.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-03-31,163959.0,6522.0,850930880.0,149750.50726891396,153432.858056291,,,,,,,,,,,,4.33,4.968,0.637,2263.6,0.9,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-04-30,168633.0,6749.0,1021550625.0,150825.8161739817,153327.64532992343,,,,,,,,,,,,4.418,5.098,0.68,2269.9,3.1,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-05-31,175151.0,6835.0,1174485999.0,151556.30495037715,153305.242182644,,,,,,,,,,,,4.277,4.888,0.61,2280.8,7.2,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-06-30,178351.0,7445.0,1250225548.0,151781.50999852436,153086.92122869493,,,,,,,,,,,,4.175,4.737,0.562,2280.0,5.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-07-31,180210.0,5704.0,1199279766.0,150150.6647487359,152020.4009565537,,,,,,,,,,,,4.04,4.564,0.524,2283.3,4.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-08-31,177607.0,5624.0,1111965954.0,148356.73867436795,150385.81519064846,,,,,,,,,,,,3.908,4.428,0.52,2280.0,-0.3,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-09-30,170982.0,6596.0,1017799127.0,145707.28702325662,148204.56424232692,,,,,,,,,,,,3.81,4.346,0.536,2278.1,-0.6,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-10-31,162023.0,6990.0,1033304592.0,143377.60126009354,146202.34800900196,,,,,,,,,,,,3.66,4.225,0.565,2287.6,1.4,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-11-30,158122.0,6319.0,1048558234.0,140827.88306567946,144243.36137447198,,,,,,,,,,,,3.683,4.3,0.618,2287.1,2.4,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2010-12-31,160502.0,5706.0,1015133049.0,138415.77254073264,142497.2149727447,,,,,,,,,,,,4.058,4.714,0.656,2285.8,2.6,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-01-31,162144.0,4054.0,869720180.0,136038.92249442276,140775.0996425056,,,,,,,,,,,,4.088,4.755,0.667,2274.2,-4.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-02-28,159771.0,4441.0,758686031.0,134638.520077387,139336.4588546334,,,,,,,,,,,,4.215,4.952,0.738,2300.0,4.3,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-03-31,157052.0,6213.0,769780589.0,133035.69445449967,137889.51509641492,,,,,,,,,,,,4.08,4.836,0.756,2308.4,7.5,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-04-30,156944.0,6081.0,877434726.0,131725.49007866473,136297.8652350075,,,,,,,,,,,,4.055,4.84,0.785,2310.1,12.0,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-05-31,160896.0,6604.0,1014150448.0,130284.7256719406,134247.07684584954,,,,,,,,,,,,3.822,4.638,0.815,2312.0,4.0,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-06-30,166203.0,7358.0,1113280712.0,129395.25613514932,132175.9858328524,,,,,,,,,,,,3.694,4.51,0.816,2309.4,0.3,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-07-31,167434.0,6862.0,1163378379.0,128940.212052166,130427.17656030937,,,,,,,,,,,,3.68,4.545,0.865,2317.0,2.3,4414.04779,89.810682,41.859123,"ATLANTA, GA"
2011-08-31,163845.0,7804.0,1201478935.0,128954.3126390947,129359.52438778862,,,,,,,,,,,,3.46,4.27,0.81,2318.4,2.1,4414.04779,89.810682,41.859123,"ATLANTA, GA"
